"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","18_LD_DD","1","UM",7.45
"Wegener","18_LD_DD","2","AK",5.51
"Wegener","18_LD_DD","2","GI",3.49
"Wegener","18_LD_DD","2","KA",4.67
"Wegener","18_LD_DD","2","MA",10.49
"Wegener","18_LD_DD","2","RE",3.98
"Wegener","18_LD_DD","2","VA",3.5
"Wegener","18_LD_DD","3","MU",3.97
"Wegener","18_LD_DD","3","YE",3.78
