"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","29_LD_DD","AK",24.26,NA,24.26,24.26,24.26,NA,NA,24.26
"Wegener","29_LD_DD","GI",22.8,NA,22.8,22.8,22.8,NA,NA,22.8
"Wegener","29_LD_DD","KA",23.6,NA,23.6,23.6,23.6,NA,NA,23.6
"Wegener","29_LD_DD","MA",22.46,NA,22.46,22.46,22.46,NA,NA,22.46
"Wegener","29_LD_DD","MU",22.82,NA,22.82,22.82,22.82,NA,NA,22.82
"Wegener","29_LD_DD","RE",24.42,NA,24.42,24.42,24.42,NA,NA,24.42
"Wegener","29_LD_DD","UM",22.36,NA,22.36,22.36,22.36,NA,NA,22.36
"Wegener","29_LD_DD","VA",24.26,NA,24.26,24.26,24.26,NA,NA,24.26
"Wegener","29_LD_DD","YE",24.26,NA,24.26,24.26,24.26,NA,NA,24.26
