"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Flatt","F","AK",NA,57.0872483221477,17.2037451017151,59,3,99,0.704692856989906,0.301358807918593,59
"Flatt","F","GI",NA,41.9866666666667,11.3936904700116,41,5,87,0.465145465645664,0.271364491981858,43
"Flatt","F","KA",NA,53.754590984975,14.7643091340346,55,3,97,0.603253317120253,0.274661361262359,56
"Flatt","F","MA",NA,48.1661016949153,14.1000380518155,48,5,87,0.580489380131249,0.292737787689885,43
"Flatt","F","MU",NA,55.8686006825939,14.444167914993,56,4,93,0.596683076786782,0.258538208197742,58
"Flatt","F","RE",NA,43.9664429530201,12.7849260544169,43,3,85,0.523690976262694,0.290788273867825,39
"Flatt","F","UM",NA,49.0469565217391,14.0300655372291,49,4,83,0.585094178935535,0.286053743844646,46
"Flatt","F","VA",NA,53.6683673469388,16.4744565915688,54,4,97,0.67939513913536,0.306967724303402,53
"Flatt","F","YE",NA,48.4020100502513,12.5172041062484,49,3,80,0.512295060364147,0.258609179520706,55
"Flatt","M","AK",NA,50.0135593220339,13.834940850195,50,7,94,0.569575501056758,0.276623800380067,43
"Flatt","M","GI",NA,49.0826161790017,14.7990001073819,47,3,88,0.613965979561586,0.301512047634354,43
"Flatt","M","KA",NA,54.7006920415225,13.6945649330561,55,4,92,0.569618807621381,0.250354509640587,56
"Flatt","M","MA",NA,51.5962521294719,14.2551895678557,51,4,89,0.588374641070373,0.276283431053961,57
"Flatt","M","MU",NA,53.7223140495868,14.7661320896152,53,3,91,0.600328638493103,0.27486031364892,46
"Flatt","M","RE",NA,49.2171717171717,13.9303849081973,48,5,92,0.571570616088667,0.283039118709396,46
"Flatt","M","UM",NA,51.3560477001704,12.0672593198539,51,4,84,0.498069095274063,0.234972507820416,46
"Flatt","M","VA",NA,49.9057591623037,13.7077967066297,51,3,88,0.572651422699902,0.274673643617947,44
"Flatt","M","YE",NA,50.6661016949153,14.9492191955534,52,3,85,0.615449614560127,0.295053668931741,52
"Parsch","F","AK",NA,55.9835164835165,19.7778516098777,58,4,102,0.733015949542325,0.353279909019309,70
"Parsch","F","GI",NA,49.7918367346939,20.8098681992275,51,4,100,0.7675835521179,0.417937348045802,63
"Parsch","F","KA",NA,54.2216142270862,20.1391086339188,56,2,102,0.744871840140054,0.371422151866855,56
"Parsch","F","MA",NA,45.1293952180028,18.1971246622029,44,4,95,0.682445492969567,0.403221106205823,42
"Parsch","F","MU",NA,51.275,19.6283107817419,53,4,98,0.731503953191115,0.382804695889652,35
"Parsch","F","RE",NA,44.1555252387449,18.9076079073943,46,4,93,0.698368432590926,0.428204801214855,49
"Parsch","F","UM",NA,46.7359009628611,18.985324656712,49,2,93,0.704126716119459,0.406225712259164,49
"Parsch","F","VA",NA,54.0722070844687,20.2033716279183,56,2,95,0.745720054288163,0.373636896240572,56
"Parsch","F","YE",NA,51.8668515950069,18.9983631514636,53,2,98,0.70753601716264,0.36629104268385,63
"Parsch","M","AK",NA,56.7485465116279,22.1166517830775,60,2,105,0.843189444365841,0.389730718099462,56
"Parsch","M","GI",NA,47.3844011142061,20.7307876909677,49,4,107,0.773666125264369,0.437502367941767,35
"Parsch","M","KA",NA,54.1752136752137,21.0573379553536,56,4,100,0.79475800556894,0.388689522880235,63
"Parsch","M","MA",NA,49.0991253644315,19.2634921709631,51,2,107,0.735483548740266,0.392338804978347,56
"Parsch","M","MU",NA,56.2934306569343,21.1346290362508,58,4,112,0.807512666958963,0.375436863406857,56
"Parsch","M","RE",NA,47.0057803468208,20.0334010845366,49,2,98,0.761555639986121,0.426190160799905,49
"Parsch","M","UM",NA,53.2369942196532,21.1086752129199,56,2,102,0.802431429051891,0.396503888364294,70
"Parsch","M","VA",NA,56.8461538461538,20.817301340824,60,2,100,0.785698407369416,0.366204218444806,56
"Parsch","M","YE",NA,49.3676680972818,19.4707373300606,49,4,109,0.736450921782893,0.394402613704427,56
"Pasyukova","F","AK",NA,43.69375,15.8941197369179,44,3,95,0.378861213953531,0.363761859234282,46
"Pasyukova","F","GI",NA,43.5605769230769,16.7806485910277,44,3,92,0.520345823555723,0.38522558185261,42
"Pasyukova","F","KA",NA,46.479375,16.7142657267262,46,3,98,0.417856643168155,0.359606077463955,46
"Pasyukova","F","MA",NA,43.33375,16.7610543829294,44,3,98,0.419026359573235,0.386789843549875,46
"Pasyukova","F","MU",NA,43.6375,16.8911045267201,44,3,89,0.422277613168001,0.387077731921399,46
"Pasyukova","F","RE",NA,43.8953125,18.1802281977462,46,5,92,0.508152826207738,0.414172428952322,49
"Pasyukova","F","UM",NA,39.0402777777778,16.1744241672796,40,4,84,0.426233501752298,0.414300949889406,33
"Pasyukova","F","VA",NA,43.771875,16.543114296544,45,2,99,0.413577857413599,0.377939357099598,48
"Pasyukova","F","YE",NA,41.02125,15.371921917156,43,4,90,0.384298047928901,0.374730704626408,46
"Pasyukova","M","AK",NA,50.2818181818182,18.3062541648303,51,2,96,0.436358212384675,0.364073035279576,53
"Pasyukova","M","GI",NA,47.5682692307692,19.8393730905054,48,2,100,0.61519284392428,0.417071577573237,51
"Pasyukova","M","KA",NA,53.315,19.4543650680284,52,3,100,0.486359126700711,0.364894777605335,50
"Pasyukova","M","MA",NA,47.365,19.2695705120099,47,2,100,0.481739262800249,0.406831426412118,47
"Pasyukova","M","MU",NA,50.41,20.0239856172541,51,3,98,0.500599640431353,0.397222487943942,46
"Pasyukova","M","RE",NA,48.1125,19.7931405497591,49,3,100,0.553235096968361,0.411392892694395,49
