"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","18_LD_LD","2","AK",23.78
"Wegener","18_LD_LD","3","GI",24.14
"Wegener","18_LD_LD","3","KA",23.7
"Wegener","18_LD_LD","3","MA",23.54
"Wegener","18_LD_LD","3","MU",23.78
"Wegener","18_LD_LD","3","UM",23.72
"Wegener","18_LD_LD","3","YE",23.5
"Wegener","18_LD_LD","4","RE",24.02
"Wegener","18_LD_LD","4","VA",24.08
