"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","18_LD_LD","AK",10.6,NA,10.6,10.6,10.6,NA,NA,10.6
"Wegener","18_LD_LD","GI",25.15,NA,25.15,25.15,25.15,NA,NA,25.15
"Wegener","18_LD_LD","KA",8.46,NA,8.46,8.46,8.46,NA,NA,8.46
"Wegener","18_LD_LD","MA",17.78,NA,17.78,17.78,17.78,NA,NA,17.78
"Wegener","18_LD_LD","MU",14.81,NA,14.81,14.81,14.81,NA,NA,14.81
"Wegener","18_LD_LD","RE",14.72,NA,14.72,14.72,14.72,NA,NA,14.72
"Wegener","18_LD_LD","UM",20.97,NA,20.97,20.97,20.97,NA,NA,20.97
"Wegener","18_LD_LD","VA",11.73,NA,11.73,11.73,11.73,NA,NA,11.73
"Wegener","18_LD_LD","YE",11.83,NA,11.83,11.83,11.83,NA,NA,11.83
