"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","29_LD_DD","2","AK",2.42
"Wegener","29_LD_DD","2","GI",4.29
"Wegener","29_LD_DD","2","MA",5.35
"Wegener","29_LD_DD","2","MU",4.2
"Wegener","29_LD_DD","2","UM",5.5
"Wegener","29_LD_DD","2","YE",4.14
"Wegener","29_LD_DD","3","KA",4.77
"Wegener","29_LD_DD","3","RE",4.72
"Wegener","29_LD_DD","3","VA",4.3
