"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","29_LD_LD","1","MU",23.98
"Wegener","29_LD_LD","2","AK",23.36
"Wegener","29_LD_LD","2","KA",23.44
"Wegener","29_LD_LD","2","MA",23.06
"Wegener","29_LD_LD","2","RE",23.78
"Wegener","29_LD_LD","2","UM",23.14
"Wegener","29_LD_LD","2","VA",23.64
"Wegener","29_LD_LD","3","GI",22.5
"Wegener","29_LD_LD","3","YE",22.74
