"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","18_LD_DD","AK",11.66,NA,11.66,11.66,11.66,NA,NA,11.66
"Wegener","18_LD_DD","GI",6.55,NA,6.55,6.55,6.55,NA,NA,6.55
"Wegener","18_LD_DD","KA",9.75,NA,9.75,9.75,9.75,NA,NA,9.75
"Wegener","18_LD_DD","MA",7.47,NA,7.47,7.47,7.47,NA,NA,7.47
"Wegener","18_LD_DD","MU",16.88,NA,16.88,16.88,16.88,NA,NA,16.88
"Wegener","18_LD_DD","RE",10.72,NA,10.72,10.72,10.72,NA,NA,10.72
"Wegener","18_LD_DD","UM",6.85,NA,6.85,6.85,6.85,NA,NA,6.85
"Wegener","18_LD_DD","VA",10.22,NA,10.22,10.22,10.22,NA,NA,10.22
"Wegener","18_LD_DD","YE",17.22,NA,17.22,17.22,17.22,NA,NA,17.22
