"Supervisor.PI","Condition","Population","Mean"
"Wegener","29_LD_DD","AK",3.17
"Wegener","29_LD_DD","GI",5.68
"Wegener","29_LD_DD","KA",6.6
"Wegener","29_LD_DD","MA",6.45
"Wegener","29_LD_DD","MU",4.98
"Wegener","29_LD_DD","RE",3.9
"Wegener","29_LD_DD","UM",7.15
"Wegener","29_LD_DD","VA",3.54
"Wegener","29_LD_DD","YE",4.01
