"Supervisor.PI","Condition","Population","Mean"
"Wegener","18_LD_LD","AK",2.01
"Wegener","18_LD_LD","GI",2.43
"Wegener","18_LD_LD","KA",4.94
"Wegener","18_LD_LD","MA",4.66
"Wegener","18_LD_LD","MU",2.2
"Wegener","18_LD_LD","RE",1.67
"Wegener","18_LD_LD","UM",4.25
"Wegener","18_LD_LD","VA",3.14
"Wegener","18_LD_LD","YE",3.7
