"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","18_LD_LD","2","AK",2.17
"Wegener","18_LD_LD","3","GI",2.32
"Wegener","18_LD_LD","3","KA",3.86
"Wegener","18_LD_LD","3","MA",3.16
"Wegener","18_LD_LD","3","MU",2.33
"Wegener","18_LD_LD","3","UM",3.87
"Wegener","18_LD_LD","3","YE",3.06
"Wegener","18_LD_LD","4","RE",1.8
"Wegener","18_LD_LD","4","VA",2.36
