"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","29_LD_LD","1","MU",5.15e-11
"Wegener","29_LD_LD","2","AK",1.15e-08
"Wegener","29_LD_LD","2","KA",4.35e-06
"Wegener","29_LD_LD","2","MA",1.03e-11
"Wegener","29_LD_LD","2","RE",1.79e-10
"Wegener","29_LD_LD","2","UM",2.07e-18
"Wegener","29_LD_LD","2","VA",6.04e-13
"Wegener","29_LD_LD","3","GI",2.01e-09
"Wegener","29_LD_LD","3","YE",8.17e-13
