"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","29_LD_DD","2","AK",24.62
"Wegener","29_LD_DD","2","GI",23.76
"Wegener","29_LD_DD","2","MA",23.08
"Wegener","29_LD_DD","2","MU",23.32
"Wegener","29_LD_DD","2","UM",23.34
"Wegener","29_LD_DD","2","YE",24.16
"Wegener","29_LD_DD","3","KA",24.74
"Wegener","29_LD_DD","3","RE",23.78
"Wegener","29_LD_DD","3","VA",23.66
