"Supervisor.PI","Condition","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","18_LD_LD","2","AK",2.17,NA,2.17,2.17,2.17,NA,NA,2.17
"Wegener","18_LD_LD","3","GI",2.32,NA,2.32,2.32,2.32,NA,NA,2.32
"Wegener","18_LD_LD","3","KA",3.86,NA,3.86,3.86,3.86,NA,NA,3.86
"Wegener","18_LD_LD","3","MA",3.16,NA,3.16,3.16,3.16,NA,NA,3.16
"Wegener","18_LD_LD","3","MU",2.33,NA,2.33,2.33,2.33,NA,NA,2.33
"Wegener","18_LD_LD","3","UM",3.87,NA,3.87,3.87,3.87,NA,NA,3.87
"Wegener","18_LD_LD","3","YE",3.06,NA,3.06,3.06,3.06,NA,NA,3.06
"Wegener","18_LD_LD","4","RE",1.8,NA,1.8,1.8,1.8,NA,NA,1.8
"Wegener","18_LD_LD","4","VA",2.36,NA,2.36,2.36,2.36,NA,NA,2.36
