"Supervisor.PI","Condition","Population","Mean"
"Wegener","29_LD_LD","AK",22.56
"Wegener","29_LD_LD","GI",22.6
"Wegener","29_LD_LD","KA",22.96
"Wegener","29_LD_LD","MA",22.8
"Wegener","29_LD_LD","MU",23.88
"Wegener","29_LD_LD","RE",23.3
"Wegener","29_LD_LD","UM",23.2
"Wegener","29_LD_LD","VA",24.04
"Wegener","29_LD_LD","YE",22.5
