"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","29_LD_LD","AK",23.36,NA,23.36,23.36,23.36,NA,NA,23.36
"Wegener","29_LD_LD","GI",22.5,NA,22.5,22.5,22.5,NA,NA,22.5
"Wegener","29_LD_LD","KA",23.44,NA,23.44,23.44,23.44,NA,NA,23.44
"Wegener","29_LD_LD","MA",23.06,NA,23.06,23.06,23.06,NA,NA,23.06
"Wegener","29_LD_LD","MU",23.98,NA,23.98,23.98,23.98,NA,NA,23.98
"Wegener","29_LD_LD","RE",23.78,NA,23.78,23.78,23.78,NA,NA,23.78
"Wegener","29_LD_LD","UM",23.14,NA,23.14,23.14,23.14,NA,NA,23.14
"Wegener","29_LD_LD","VA",23.64,NA,23.64,23.64,23.64,NA,NA,23.64
"Wegener","29_LD_LD","YE",22.74,NA,22.74,22.74,22.74,NA,NA,22.74
