"Supervisor.PI","Condition","Population","Mean"
"Wegener","29_LD_LD","AK",4.67
"Wegener","29_LD_LD","GI",5.35
"Wegener","29_LD_LD","KA",4.81
"Wegener","29_LD_LD","MA",3.56
"Wegener","29_LD_LD","MU",1.65
"Wegener","29_LD_LD","RE",3.67
"Wegener","29_LD_LD","UM",3.89
"Wegener","29_LD_LD","VA",2.16
"Wegener","29_LD_LD","YE",4.71
