"Supervisor.PI","Condition","Population","Mean"
"Wegener","29_LD_DD","AK",24.62
"Wegener","29_LD_DD","GI",23.76
"Wegener","29_LD_DD","KA",24.74
"Wegener","29_LD_DD","MA",23.08
"Wegener","29_LD_DD","MU",23.32
"Wegener","29_LD_DD","RE",23.78
"Wegener","29_LD_DD","UM",23.34
"Wegener","29_LD_DD","VA",23.66
"Wegener","29_LD_DD","YE",24.16
