"Supervisor.PI","Condition","Population","Mean"
"Wegener","18_LD_DD","AK",5.26e-24
"Wegener","18_LD_DD","GI",6.27e-22
"Wegener","18_LD_DD","KA",6.76e-14
"Wegener","18_LD_DD","MA",2.92e-09
"Wegener","18_LD_DD","MU",4.21e-24
"Wegener","18_LD_DD","RE",5.26e-24
"Wegener","18_LD_DD","UM",7.54e-19
"Wegener","18_LD_DD","VA",1.31e-19
"Wegener","18_LD_DD","YE",7.71e-23
