"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","29_LD_LD","AK",4.67,NA,4.67,4.67,4.67,NA,NA,4.67
"Wegener","29_LD_LD","GI",5.35,NA,5.35,5.35,5.35,NA,NA,5.35
"Wegener","29_LD_LD","KA",4.81,NA,4.81,4.81,4.81,NA,NA,4.81
"Wegener","29_LD_LD","MA",3.56,NA,3.56,3.56,3.56,NA,NA,3.56
"Wegener","29_LD_LD","MU",1.65,NA,1.65,1.65,1.65,NA,NA,1.65
"Wegener","29_LD_LD","RE",3.67,NA,3.67,3.67,3.67,NA,NA,3.67
"Wegener","29_LD_LD","UM",3.89,NA,3.89,3.89,3.89,NA,NA,3.89
"Wegener","29_LD_LD","VA",2.16,NA,2.16,2.16,2.16,NA,NA,2.16
"Wegener","29_LD_LD","YE",4.71,NA,4.71,4.71,4.71,NA,NA,4.71
