"Supervisor.PI","Condition","Population","Mean"
"Wegener","18_LD_LD","AK",2.73e-23
"Wegener","18_LD_LD","GI",5.7e-27
"Wegener","18_LD_LD","KA",1.62e-19
"Wegener","18_LD_LD","MA",9.54e-23
"Wegener","18_LD_LD","MU",2.73e-23
"Wegener","18_LD_LD","RE",4.1e-23
"Wegener","18_LD_LD","UM",3.81e-23
"Wegener","18_LD_LD","VA",2.73e-23
"Wegener","18_LD_LD","YE",7.57e-17
