"Supervisor.PI","Condition","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","18_LD_DD","1","UM",7.64,NA,7.64,7.64,7.64,NA,NA,7.64
"Wegener","18_LD_DD","2","AK",6.16,NA,6.16,6.16,6.16,NA,NA,6.16
"Wegener","18_LD_DD","2","GI",3.49,NA,3.49,3.49,3.49,NA,NA,3.49
"Wegener","18_LD_DD","2","KA",7.01,NA,7.01,7.01,7.01,NA,NA,7.01
"Wegener","18_LD_DD","2","MA",9.79,NA,9.79,9.79,9.79,NA,NA,9.79
"Wegener","18_LD_DD","2","RE",3.74,NA,3.74,3.74,3.74,NA,NA,3.74
"Wegener","18_LD_DD","2","VA",3.35,NA,3.35,3.35,3.35,NA,NA,3.35
"Wegener","18_LD_DD","3","MU",3.5,NA,3.5,3.5,3.5,NA,NA,3.5
"Wegener","18_LD_DD","3","YE",5.11,NA,5.11,5.11,5.11,NA,NA,5.11
