"Supervisor.PI","Condition","Population","Mean"
"Wegener","29_LD_LD","AK",23.36
"Wegener","29_LD_LD","GI",22.5
"Wegener","29_LD_LD","KA",23.44
"Wegener","29_LD_LD","MA",23.06
"Wegener","29_LD_LD","MU",23.98
"Wegener","29_LD_LD","RE",23.78
"Wegener","29_LD_LD","UM",23.14
"Wegener","29_LD_LD","VA",23.64
"Wegener","29_LD_LD","YE",22.74
