"Supervisor.PI","Condition","Population","Mean"
"Wegener","18_LD_DD","AK",6.16
"Wegener","18_LD_DD","GI",3.49
"Wegener","18_LD_DD","KA",7.01
"Wegener","18_LD_DD","MA",9.79
"Wegener","18_LD_DD","MU",3.5
"Wegener","18_LD_DD","RE",3.74
"Wegener","18_LD_DD","UM",7.64
"Wegener","18_LD_DD","VA",3.35
"Wegener","18_LD_DD","YE",5.11
