"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","18_LD_LD","AK",2.73e-23,NA,2.73e-23,2.73e-23,2.73e-23,NA,NA,2.73e-23
"Wegener","18_LD_LD","GI",5.7e-27,NA,5.7e-27,5.7e-27,5.7e-27,NA,NA,5.7e-27
"Wegener","18_LD_LD","KA",1.62e-19,NA,1.62e-19,1.62e-19,1.62e-19,NA,NA,1.62e-19
"Wegener","18_LD_LD","MA",9.54e-23,NA,9.54e-23,9.54e-23,9.54e-23,NA,NA,9.54e-23
"Wegener","18_LD_LD","MU",2.73e-23,NA,2.73e-23,2.73e-23,2.73e-23,NA,NA,2.73e-23
"Wegener","18_LD_LD","RE",4.1e-23,NA,4.1e-23,4.1e-23,4.1e-23,NA,NA,4.1e-23
"Wegener","18_LD_LD","UM",3.81e-23,NA,3.81e-23,3.81e-23,3.81e-23,NA,NA,3.81e-23
"Wegener","18_LD_LD","VA",2.73e-23,NA,2.73e-23,2.73e-23,2.73e-23,NA,NA,2.73e-23
"Wegener","18_LD_LD","YE",7.57e-17,NA,7.57e-17,7.57e-17,7.57e-17,NA,NA,7.57e-17
