"Supervisor.PI","Condition","Population","Mean"
"Wegener","18_LD_DD","AK",24.22
"Wegener","18_LD_DD","GI",24.82
"Wegener","18_LD_DD","KA",24.06
"Wegener","18_LD_DD","MA",23.3
"Wegener","18_LD_DD","MU",24.92
"Wegener","18_LD_DD","RE",24.72
"Wegener","18_LD_DD","UM",24.22
"Wegener","18_LD_DD","VA",24.9
"Wegener","18_LD_DD","YE",24.3
