Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	Censor	LSL_AgeAtDeath_days	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Pasyukova	S	1	AK	AK1	M	2	Pasyukova_1_AK1_2	3	0	39	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	2	Pasyukova_1_AK1_2	4	0	46	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	2	Pasyukova_1_AK1_2	5	0	49	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	2	Pasyukova_1_AK1_2	6	0	49	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	2	Pasyukova_1_AK1_2	7	0	56	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	2	Pasyukova_1_AK1_2	8	0	63	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	2	Pasyukova_1_AK1_2	9	0	63	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	2	Pasyukova_1_AK1_2	10	0	68	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	1	0	15	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	2	0	27	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	3	0	33	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	4	0	38	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	5	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	6	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	7	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	8	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	9	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	F	3	Pasyukova_1_AK1_3	10	0	45	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	3	Pasyukova_1_AK1_3	1	0	20	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	3	Pasyukova_1_AK1_3	2	0	35	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	3	Pasyukova_1_AK1_3	3	0	41	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	3	Pasyukova_1_AK1_3	4	0	41	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	3	Pasyukova_1_AK1_3	5	0	44	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK1	M	3	Pasyukova_1_AK1_3	6	0	44	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
