variable,x,y
DrosoEu_wc2.1_30s_tmin_01,-29.34856141586304,0.0013568775029852986
DrosoEu_wc2.1_30s_tmin_01,-29.245121412658694,0.0013958943309262395
DrosoEu_wc2.1_30s_tmin_01,-29.14168140945435,0.0014360315399244428
DrosoEu_wc2.1_30s_tmin_01,-29.038241406250002,0.0014773219591006637
DrosoEu_wc2.1_30s_tmin_01,-28.934801403045658,0.0015197995817288756
DrosoEu_wc2.1_30s_tmin_01,-28.83136139984131,0.0015634967712685466
DrosoEu_wc2.1_30s_tmin_01,-28.727921396636965,0.0016084500821307302
DrosoEu_wc2.1_30s_tmin_01,-28.624481393432617,0.0016546939732506871
DrosoEu_wc2.1_30s_tmin_01,-28.521041390228273,0.001702266396023333
DrosoEu_wc2.1_30s_tmin_01,-28.41760138702393,0.0017512061167508364
DrosoEu_wc2.1_30s_tmin_01,-28.31416138381958,0.0018015506211668253
DrosoEu_wc2.1_30s_tmin_01,-28.210721380615237,0.0018533411202952266
DrosoEu_wc2.1_30s_tmin_01,-28.107281377410892,0.001906620105728507
DrosoEu_wc2.1_30s_tmin_01,-28.003841374206544,0.0019614282064139843
DrosoEu_wc2.1_30s_tmin_01,-27.900401371002197,0.0020178102422505617
DrosoEu_wc2.1_30s_tmin_01,-27.796961367797856,0.0020758123137056828
DrosoEu_wc2.1_30s_tmin_01,-27.693521364593508,0.0021354788914322853
DrosoEu_wc2.1_30s_tmin_01,-27.59008136138916,0.0021968584042042494
DrosoEu_wc2.1_30s_tmin_01,-27.486641358184816,0.0022600016091018915
DrosoEu_wc2.1_30s_tmin_01,-27.38320135498047,0.002324956003576517
DrosoEu_wc2.1_30s_tmin_01,-27.279761351776123,0.00239177537150681
DrosoEu_wc2.1_30s_tmin_01,-27.17632134857178,0.0024605137296020985
DrosoEu_wc2.1_30s_tmin_01,-27.072881345367435,0.002531224163249135
DrosoEu_wc2.1_30s_tmin_01,-26.969441342163087,0.002603965112939477
DrosoEu_wc2.1_30s_tmin_01,-26.86600133895874,0.0026787922251969576
DrosoEu_wc2.1_30s_tmin_01,-26.7625613357544,0.002755766501650214
DrosoEu_wc2.1_30s_tmin_01,-26.65912133255005,0.0028349512722343206
DrosoEu_wc2.1_30s_tmin_01,-26.555681329345703,0.0029164061415940523
DrosoEu_wc2.1_30s_tmin_01,-26.452241326141362,0.0030001981649547815
DrosoEu_wc2.1_30s_tmin_01,-26.348801322937014,0.0030863953288644552
DrosoEu_wc2.1_30s_tmin_01,-26.245361319732666,0.0031750635243952274
DrosoEu_wc2.1_30s_tmin_01,-26.141921316528325,0.003266274929046631
DrosoEu_wc2.1_30s_tmin_01,-26.038481313323977,0.0033601035829633474
