variable,x,y
DrosoEu_wc2.1_30s_tmin_12,-35.930000400543214,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-35.82608040008545,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-35.72216039962769,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-35.61824039916992,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-35.51432039871216,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-35.410400398254396,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-35.30648039779663,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-35.20256039733887,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-35.0986403968811,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.99472039642334,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.89080039596558,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.786880395507815,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.68296039505005,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.57904039459228,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.47512039413452,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.37120039367676,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.267280393218996,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.163360392761234,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-34.059440392303465,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.9555203918457,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.85160039138794,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.74768039093018,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.643760390472416,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.539840390014646,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.435920389556884,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.33200038909912,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.22808038864136,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.1241603881836,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-33.020240387725835,2.1185869991313666E-4
DrosoEu_wc2.1_30s_tmin_12,-32.916320387268065,2.1185869991313666E-4
