X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
71.4,34.01,train,1.3074277237202126E-4,22.342200619881783,0.5055419310652131
72.34,34.06,train,1.604982399567191E-4,28.03349551117846,0.5787721773777795
71.15,34.07,train,9.993412067780206E-5,16.25424104700608,0.41627835952665837
71.46,34.12,train,1.6136274917512508E-4,28.344785284634572,0.5807292703366338
72.05,34.14,train,1.6385323367286742E-4,28.903344463232767,0.586316596924268
51.09,34.15,train,3.7508241683566397E-5,5.9492753934487,0.18294725152132685
71.54,34.3,train,1.126132227349064E-4,18.665420216555905,0.45481581775241886
8.4,34.48,train,1.1599626994257982E-4,19.2855533022315,0.464661269776358
-1.21,34.53,train,9.691104924576173E-5,15.702338282630244,0.40669471157836
0.0,35.0,train,9.911279992798351E-5,16.104625245715514,0.41369005534905434
10.0,35.0,train,1.8142784355993082E-4,33.1496556354884,0.6236840802425718
25.35,35.0,train,2.2939125925929506E-4,46.91523625254365,0.7093683004778844
33.0,35.0,train,9.179738923337776E-5,15.025272058081367,0.39012400228431277
37.0,35.0,train,6.190443591616541E-5,11.088965936870867,0.283566959519153
5.0,35.0,train,1.061372686443314E-4,17.25405552812952,0.43546141119298554
33.26,35.08,train,5.103549398409939E-5,8.86462233274995,0.24036788961420374
-5.16,35.1,train,2.0089851009649437E-4,38.2864623195722,0.6611548357017516
26.15,35.12,train,1.9164409610417476E-4,35.840514266871885,0.6438345083063999
3.4,35.14,train,1.2136588238157495E-4,20.50304006398808,0.4799243196320443
25.0,35.15,train,1.9083602021317074E-4,35.51287211030233,0.6422807437568436
25.08,35.2,train,2.0233848791769823E-4,38.77180830533225,0.6637730754921133
24.28,35.23,train,1.9108067666797157E-4,35.653211170986296,0.6427518821329381
24.09,35.26,train,1.940551663078897E-4,36.447259793543154,0.6484305086778135
23.55,35.27,train,2.174993466052483E-4,43.270662215647185,0.6901411444501401
63.19,35.38,train,2.583663854710793E-5,3.6835754468103197,0.12992715247100894
51.26,35.4,train,5.01888531745609E-5,8.652027395608654,0.2368954965747211
10.01,35.42,train,1.5158405277965442E-4,26.168463185729742,0.5580515235040524
-0.38,35.45,train,1.90089612953432E-4,35.329070572582374,0.6408395339560596
10.59,35.46,train,2.797355466526366E-4,61.1614013793797,0.778403262408811
-5.5,35.48,train,2.3181419710490767E-4,47.66981430946425,0.713136984818804
10.0,36.0,train,1.4320887318189428E-4,24.596653926142885,0.537655991643746
43.38,36.17,train,2.613338881036191E-5,3.7534161081105437,0.13131689801587554
10.0,36.2,train,1.6248777053209451E-4,28.61876640662511,0.5832625062028847
43.08,36.21,train,2.4264192613753496E-5,3.361782297742447,0.12252585894663293
33.57,36.22,train,1.208471672979461E-4,20.346933478641834,0.47846906844076964
10.2,36.4,train,1.6963418220740457E-4,30.189009416550924,0.5990006534672692
4.05,36.44,train,1.52195456492565E-4,26.298391640517565,0.5595047066808849
45.44,36.44,train,3.1139570321026104E-5,4.671262783018517,0.15443013770695635
-6.21,36.46,train,2.947083301914533E-4,65.61619810381235,0.7955746333458634
36.1,36.46,train,1.6340442165414112E-4,28.813827087151292,0.5853152298384687
10.1,36.48,train,1.7178227008596145E-4,30.685183032700273,0.6036140529346857
10.13,36.5,train,1.795728366014952E-4,32.73072814873965,0.6199048316782286
3.0,36.5,train,2.5656113126069875E-4,53.59727306988158,0.7489388464637745
-5.23,36.51,train,2.4770901849170294E-4,51.48630857440583,0.7366769420680628
43.01,36.52,train,2.6155988152061813E-5,3.7576764284130952,0.13142264460396513
30.42,36.53,train,1.3541758778618356E-4,23.140974753980483,0.5178381821211682
7.47,36.55,train,1.5868359198957974E-4,27.589691645448962,0.5746343776107538
8.45,36.55,train,1.4230146348909013E-4,24.462965269831823,0.5353904807655407
-6.12,36.57,train,3.06304343253732E-4,69.49351658312794,0.8079536282891043
10.0,37.0,train,1.521996467511518E-4,26.2992183252311,0.5595146495754065
35.19,37.0,train,1.6326868694059417E-4,28.786754248428352,0.5850119081692575
14.35,37.02,train,2.947098767644104E-4,65.61673769365005,0.7955763364414556
22.25,37.03,train,2.417938472812412E-4,50.04156460482448,0.7281512539604816
-3.35,37.1,train,1.1790746352184379E-4,19.662560438137735,0.47014448501677353
36.11,37.13,train,1.3688427342450497E-4,23.46450452643785,0.5216326508522575
-4.29,37.15,train,1.226747621650533E-4,20.75740167423693,0.483578346957692
-8.15,37.15,train,2.505428455277233E-4,52.16399444850543,0.740666155174825
67.15,37.15,train,2.331667495421569E-5,3.1962130651928025,0.11803565467454857
43.51,37.17,train,3.595873616991754E-5,5.594561234867669,0.17609879599549882
49.38,37.18,train,2.0645967287178635E-4,40.07887649363669,0.6711551500488371
9.52,37.18,train,2.220904659952957E-4,44.66439956234242,0.6977104978202777
-8.33,37.19,train,2.537272363963452E-4,52.99837550761987,0.7450767952131231
45.18,37.21,train,3.985630900503869E-5,6.469168966491389,0.19321682813839536
-5.59,37.24,train,1.5342222955261103E-4,26.54135293272582,0.5624061021070333
-4.36,37.26,train,1.3411458997030683E-4,22.90396017782191,0.514441951271011
-4.3,37.3,train,1.1883868011871432E-4,19.8808294029898,0.4727957612332827
33.4,37.3,train,8.676062425395403E-5,14.241751422093595,0.37335010806089397
15.06,37.31,train,2.567069991765159E-4,53.64005309116946,0.7491360452864427
33.41,37.31,train,8.427434007053339E-5,13.900868465314582,0.36490076528368953
-4.21,37.33,train,1.1478981949460049E-4,19.06586806759584,0.46117078466523787
36.55,37.35,train,1.2599411463220416E-4,21.48066493648733,0.4927303562342097
-4.39,37.36,train,1.1922514150100702E-4,19.97035770788296,0.47389216028550274
-4.2,37.37,train,1.1044737790388795E-4,18.1974200898922,0.4484178482633867
15.04,37.37,train,2.4687567164902635E-4,51.2162272092267,0.7354921954270637
-4.43,37.39,train,1.1513073522726988E-4,19.12829663470419,0.46215941764318136
-4.44,37.4,train,1.2046589625388017E-4,20.237835676203844,0.47739681957255187
31.43,37.4,train,1.1940309767542913E-4,20.01158150566086,0.4743962586924898
61.54,37.42,train,2.587270161084055E-5,3.692087717359439,0.13009616219327869
15.0,37.45,train,2.462465920016962E-4,51.01984060493709,0.7345943205278826
22.2,37.49,train,1.6916616368427235E-4,30.096078522190314,0.5979883984939103
-4.0,37.5,train,1.0231845911056518E-4,16.625566446508554,0.423727793161212
-4.46,37.53,train,1.0917766978003477E-4,17.941400208354835,0.4446322387292969
58.24,37.58,train,4.154167417330724E-5,6.785753823130637,0.20050832228394844
-1.08,37.59,train,2.921994260661249E-4,65.0185446980766,0.7927930468924579
-2.0,38.0,train,1.0474989725634768E-4,17.023161562637675,0.4312264846610845
22.0,38.0,train,1.7930089030795916E-4,32.66159960371152,0.6193476083685742
23.0,38.0,train,1.5147333104105032E-4,26.144141939795677,0.5577878480535194
46.0,38.0,train,6.282633950603381E-5,11.251278738635902,0.2871160641793269
-4.32,38.02,train,1.1452038019067294E-4,19.01652828050194,0.4603881430583284
13.31,38.04,train,1.5961077283707152E-4,27.80951246471995,0.5767536089406013
46.18,38.05,train,5.093450333849582E-5,8.836721332851358,0.23995452029647457
58.14,38.06,train,2.8292195650860614E-5,4.1528530146046085,0.14136046537675184
-7.27,38.08,train,1.542510160835957E-4,26.709066303165347,0.5643554101425645
-8.3,38.1,train,1.9388932744257825E-4,36.414100215421556,0.648116293515439
13.08,38.11,train,2.433787243583147E-4,50.44754526805393,0.7304622860562742
36.13,38.15,train,6.355392900900648E-5,11.389216667049805,0.28990468892029575
