"Country","Population","Line","PC1_F9","PC2_F9","PC3_F9","Longitude","Latitude","Altitude","Location","PC1_clim","PC2_clim"
"Turkey","YE","YE11",-1.10622087805055,-2.44785068495063,-1.39272720705329,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE13",-1.30744891259307,-0.566083866213376,0.328880268527186,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE14",-2.22209438660567,-2.33561439327557,0.748459394194029,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE15",0.201122085276759,-1.42571403271674,-2.32235086266734,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE19",-1.60486842894863,-0.361060373942646,-1.31632630620639,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE20",-1.51493058426221,-1.06398692118418,-1.0969021159944,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE21",0.575352859508947,-1.0774766984993,0.423582745468716,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE22",-1.72439133029318,-0.605384094110702,-1.1108970917528,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE23",-1.36268607418087,-1.9787013354587,-1.11749840283198,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE24",0.284367984542543,-1.81619080877365,-0.474277266402631,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE26",-1.04027876357286,-0.729091175416746,-0.810332487511503,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE27",0.988225116307006,-2.19092181930022,-0.859778103139934,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE33",0.458852085247068,0.583990782941964,0.280641911607852,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE40",-1.16604070325958,-1.45153379855137,-0.859354699881866,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
