"Country","Population","Line","PC1_F9maxP","PC2_F9maxP","PC3_F9maxP","Longitude","Latitude","Altitude","Location","PC1_clim","PC2_clim"
"Turkey","YE","YE11",-1.06195190385192,-4.45001186134657,-0.936207671345465,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE13",-1.25343445566596,-0.915524356444962,0.32446287826006,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE14",-2.3596800682965,-2.55336878498446,1.15420868921902,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE15",0.125202986979307,-2.01690179723655,-0.936947286018988,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE19",-1.35172409458876,-0.752967337577562,0.503509903832254,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE20",-1.08396579034751,-3.13364418726605,0.655992407405399,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE21",1.20124393108122,-2.84620546827917,1.54485659387797,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE22",-1.33276858976728,-0.993737623169087,0.299429641471189,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE23",-1.06461634848435,-2.68186688250791,0.204143374524367,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE24",0.424418022951744,-1.75088117226666,0.122303117644571,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE26",-0.759521107775721,-3.01575825472969,0.195276529914006,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE27",1.18781875630632,-3.19091705860816,0.310489213521911,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
"Turkey","YE","YE33",0.288427652879465,-1.08624037657377,-0.561822197260377,32.26,40.231,680,"Yesiloz",0.339505308647265,-3.19878257273457
