"","Supervisor.PI","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gibert","AK","AK1",0.68,0.05,0.68,0.63,0.73,0.0288675134594813,0.0735294117647059,0.68
"2","Gibert","AK","AK10",0.8,0.05,0.8,0.75,0.85,0.0288675134594813,0.0625,0.85
"3","Gibert","AK","AK11",0.743333333333333,0.0513160143944689,0.73,0.7,0.8,0.0296273147243853,0.0690349969432317,0.7
"4","Gibert","AK","AK12",0.806666666666667,0.0631400559602751,0.815,0.7,0.88,0.0257768199055749,0.0782727966449691,0.85
"5","Gibert","AK","AK13",0.776666666666667,0.0251661147842359,0.78,0.75,0.8,0.0145296631451356,0.0324027228981578,0.8
"6","Gibert","AK","AK14",0.826666666666667,0.0251661147842358,0.83,0.8,0.85,0.0145296631451356,0.030442880787382,0.85
"7","Gibert","AK","AK15",0.893333333333333,0.0901849950564579,0.9,0.8,0.98,0.052068331172711,0.100953352675139,0.9
"8","Gibert","AK","AK16",0.803333333333333,0.0929157324317757,0.83,0.7,0.88,0.0536449231314369,0.115662737466941,0.83
"9","Gibert","AK","AK17",0.676666666666667,0.0750555349946514,0.68,0.6,0.75,0.0433333333333333,0.110919509844312,0.68
"10","Gibert","AK","AK18",0.593333333333333,0.237977589981354,0.55,0.38,0.85,0.137396425636833,0.40108582581127,0.85
"11","Gibert","AK","AK2",0.77,0.138924439894498,0.7,0.68,0.93,0.0802080627701064,0.180421350512335,0.7
"12","Gibert","AK","AK20",0.816666666666667,0.0288675134594812,0.8,0.8,0.85,0.0166666666666666,0.0353479756646709,0.8
"13","Gibert","AK","AK21",0.753333333333333,0.110151410945722,0.7,0.68,0.88,0.0635959467611297,0.146218687096091,0.68
"14","Gibert","AK","AK3",0.636666666666667,0.0750555349946514,0.68,0.55,0.68,0.0433333333333333,0.117888274860709,0.68
"15","Gibert","AK","AK4",0.86,0.0360555127546399,0.85,0.83,0.9,0.0208166599946613,0.0419250148309767,0.83
"16","Gibert","AK","AK5",0.746666666666667,0.0763762615825973,0.73,0.68,0.83,0.0440958551844098,0.102289636048121,0.68
"17","Gibert","AK","AK6",0.626666666666667,0.0642910050732864,0.6,0.58,0.7,0.0371184290855335,0.102592029372265,0.7
"18","Gibert","AK","AK7",0.62,0.101488915650922,0.6,0.53,0.73,0.0585946527708231,0.163691799436971,0.53
"19","Gibert","AK","AK8",0.826666666666667,0.0642910050732864,0.8,0.78,0.9,0.0371184290855335,0.0777713771047819,0.9
"20","Gibert","AK","AK9",0.86,0.0529150262212918,0.88,0.8,0.9,0.0305505046330389,0.061529100257316,0.88
"21","Gibert","GI","GI1",0.793333333333333,0.128970280814354,0.83,0.65,0.9,0.0744610263456289,0.162567580858429,0.9
"22","Gibert","GI","GI10",0.748333333333333,0.0868139773692386,0.74,0.65,0.88,0.0354416578493601,0.116009769313014,0.65
"23","Gibert","GI","GI11",0.603333333333333,0.155349069303081,0.65,0.43,0.73,0.0896908269804914,0.257484645253725,0.65
"24","Gibert","GI","GI12",0.396666666666667,0.0288675134594813,0.38,0.38,0.43,0.0166666666666667,0.072775244015499,0.38
"25","Gibert","GI","GI13",0.67,0.150996688705415,0.65,0.53,0.83,0.0871779788708135,0.225368192097634,0.83
"26","Gibert","GI","GI14",0.426666666666667,0.0642910050732864,0.4,0.38,0.5,0.0371184290855335,0.150682043140515,0.5
"27","Gibert","GI","GI15",0.483333333333333,0.0288675134594813,0.5,0.45,0.5,0.0166666666666667,0.0597258899161682,0.5
"28","Gibert","GI","GI2",0.676666666666667,0.0642910050732864,0.65,0.63,0.75,0.0371184290855335,0.0950113375467286,0.63
"29","Gibert","GI","GI3",0.783333333333333,0.0763762615825973,0.8,0.7,0.85,0.0440958551844099,0.0975016105309753,0.7
"30","Gibert","GI","GI4",0.46,0.06557438524302,0.45,0.4,0.53,0.0378593889720018,0.14255301139787,0.4
"31","Gibert","GI","GI5",0.426666666666667,0.04618802153517,0.4,0.4,0.48,0.0266666666666667,0.108253175473055,0.4
"32","Gibert","GI","GI6",0.586666666666667,0.0929157324317757,0.63,0.48,0.65,0.0536449231314369,0.158379089372345,0.48
"33","Gibert","GI","GI7",0.66,0.06557438524302,0.65,0.6,0.73,0.0378593889720018,0.0993551291560909,0.6
"34","Gibert","GI","GI8",0.666666666666667,0.0763762615825973,0.65,0.6,0.75,0.0440958551844099,0.114564392373896,0.6
"35","Gibert","GI","GI9",0.713333333333333,0.0288675134594812,0.73,0.68,0.73,0.0166666666666666,0.0404684768123569,0.73
"36","Gibert","KA","KA1",0.725,0.106066017177982,0.725,0.65,0.8,0.075,0.146297954728251,0.8
"37","Gibert","KA","KA10",0.543333333333333,0.0602771377334171,0.55,0.48,0.6,0.0348010216963685,0.110939517300768,0.48
"38","Gibert","KA","KA11",0.768333333333333,0.0696897888263888,0.775,0.68,0.85,0.0284507371511609,0.0907025451102674,0.85
"39","Gibert","KA","KA13",0.67,0.0360555127546399,0.68,0.63,0.7,0.0208166599946613,0.0538141981412536,0.7
"40","Gibert","KA","KA14",0.82,0.0529150262212918,0.8,0.78,0.88,0.0305505046330389,0.0645305197820632,0.88
"41","Gibert","KA","KA15",0.76,0.0360555127546399,0.75,0.73,0.8,0.0208166599946613,0.047441464150842,0.73
"42","Gibert","KA","KA16",0.776666666666667,0.0251661147842359,0.78,0.75,0.8,0.0145296631451356,0.0324027228981578,0.78
"43","Gibert","KA","KA17",0.77,0.115325625946708,0.73,0.68,0.9,0.0665832811847939,0.14977354019053,0.9
"44","Gibert","KA","KA18",0.703333333333333,0.0680685928555405,0.68,0.65,0.78,0.0392994204085053,0.0967799898420006,0.78
"45","Gibert","KA","KA2",0.743333333333333,0.0513160143944689,0.73,0.7,0.8,0.0296273147243853,0.0690349969432317,0.7
"46","Gibert","KA","KA23",0.71,0.101488915650922,0.73,0.6,0.8,0.0585946527708232,0.142942134719609,0.73
"47","Gibert","KA","KA24",0.646666666666667,0.0763762615825973,0.63,0.58,0.73,0.0440958551844099,0.118107621004017,0.73
"48","Gibert","KA","KA25",0.686666666666667,0.100664459136943,0.7,0.58,0.78,0.0581186525805423,0.146598726898461,0.78
"49","Gibert","KA","KA28",0.886666666666667,0.0115470053837925,0.88,0.88,0.9,0.00666666666666667,0.0130229384027735,0.88
"50","Gibert","KA","KA29",0.843333333333333,0.0929157324317756,0.8,0.78,0.95,0.0536449231314369,0.11017675782424,0.78
"51","Gibert","KA","KA3",0.586666666666667,0.0602771377334171,0.58,0.53,0.65,0.0348010216963685,0.102745121136506,0.53
"52","Gibert","KA","KA5",0.503333333333333,0.0680685928555404,0.48,0.45,0.58,0.0392994204085053,0.135235614944782,0.45
"53","Gibert","KA","KA6",0.76,0.0360555127546399,0.75,0.73,0.8,0.0208166599946613,0.047441464150842,0.8
"54","Gibert","KA","KA7",0.793333333333333,0.0814452781524708,0.83,0.7,0.85,0.047022453265553,0.10266211531824,0.83
"55","Gibert","KA","KA9",0.736666666666667,0.0115470053837925,0.73,0.73,0.75,0.00666666666666667,0.0156746679417998,0.73
"56","Gibert","MA","MA12",0.81,0.0360555127546399,0.8,0.78,0.85,0.0208166599946613,0.0445129787094319,0.78
"57","Gibert","MA","MA13",0.73,0.13228756555323,0.78,0.58,0.83,0.0763762615825973,0.181215843223602,0.83
"58","Gibert","MA","MA16",0.676666666666667,0.0680685928555405,0.7,0.6,0.73,0.0392994204085053,0.100593979589469,0.73
"59","Gibert","MA","MA18",0.636666666666667,0.169213868619961,0.68,0.45,0.78,0.0976956725983523,0.265780945476378,0.45
"60","Gibert","MA","MA19",0.793333333333333,0.0814452781524708,0.83,0.7,0.85,0.047022453265553,0.10266211531824,0.7
"61","Gibert","MA","MA20",0.426666666666667,0.04618802153517,0.4,0.4,0.48,0.0266666666666667,0.108253175473055,0.4
"62","Gibert","MA","MA21",0.736666666666667,0.0750555349946514,0.78,0.65,0.78,0.0433333333333333,0.101885341621699,0.78
"63","Gibert","MA","MA23",0.62,0.0173205080756888,0.63,0.6,0.63,0.01,0.0279363033478851,0.63
"64","Gibert","MA","MA26",0.63,0.05,0.63,0.58,0.68,0.0288675134594813,0.0793650793650794,0.63
"65","Gibert","MA","MA27",0.566666666666667,0.284312035153866,0.65,0.25,0.8,0.164147630029935,0.501727120859764,0.65
"66","Gibert","MA","MA28",0.693333333333333,0.125033328890074,0.75,0.55,0.78,0.072188026092359,0.180336532052991,0.75
"67","Gibert","MA","MA3",0.786666666666667,0.0115470053837925,0.78,0.78,0.8,0.00666666666666667,0.0146783966743125,0.78
"68","Gibert","MA","MA30",0.685,0.0720416546173115,0.65,0.63,0.8,0.0294108823397055,0.105170298711404,0.63
"69","Gibert","MA","MA31",0.313333333333333,0.0763762615825973,0.33,0.23,0.38,0.0440958551844098,0.243754026327438,0.23
"70","Gibert","MA","MA32",0.55,0.0866025403784438,0.6,0.45,0.6,0.05,0.157459164324443,0.6
"71","Gibert","MA","MA33",0.753333333333333,0.0251661147842359,0.75,0.73,0.78,0.0145296631451356,0.0334063470587202,0.75
"72","Gibert","MA","MA5",0.453333333333333,0.141891977691952,0.48,0.3,0.58,0.0819213715162967,0.312997009614599,0.58
"73","Gibert","MA","MA6",0.7,0.05,0.7,0.65,0.75,0.0288675134594813,0.0714285714285714,0.75
"74","Gibert","MA","MA7",0.693333333333333,0.0750555349946514,0.65,0.65,0.78,0.0433333333333333,0.108253175473055,0.65
"75","Gibert","MA","MA9",0.613333333333333,0.125830573921179,0.63,0.48,0.73,0.0726483157256779,0.205158544436705,0.73
"76","Gibert","MU","MU1",0.803333333333333,0.0404145188432738,0.78,0.78,0.85,0.0233333333333333,0.0503085296804238,0.78
"77","Gibert","MU","MU10",0.87,0.0360555127546399,0.88,0.83,0.9,0.0208166599946613,0.0414431181087815,0.88
"78","Gibert","MU","MU11",0.62,0.233023603954621,0.55,0.43,0.88,0.134536240470737,0.375844522507453,0.43
"79","Gibert","MU","MU12",0.783333333333333,0.0288675134594813,0.8,0.75,0.8,0.0166666666666667,0.036852144841891,0.8
"80","Gibert","MU","MU13",0.643333333333333,0.0602771377334171,0.65,0.58,0.7,0.0348010216963685,0.0936950327462442,0.58
"81","Gibert","MU","MU14",0.66,0.0793725393319377,0.63,0.6,0.75,0.0458257569495584,0.120261423230209,0.75
"82","Gibert","MU","MU15",0.743333333333333,0.110151410945722,0.75,0.63,0.85,0.0635959467611297,0.1481857546355,0.85
"83","Gibert","MU","MU16",0.643333333333333,0.0404145188432738,0.65,0.6,0.68,0.0233333333333334,0.0628204956113065,0.65
"84","Gibert","MU","MU17",0.73,0.0866025403784439,0.78,0.63,0.78,0.05,0.118633616956772,0.78
"85","Gibert","MU","MU18",0.82,0.0964365076099296,0.78,0.75,0.93,0.0556776436283002,0.11760549708528,0.78
"86","Gibert","MU","MU19",0.715,0.116918775224512,0.74,0.53,0.85,0.0477318901085358,0.163522762551765,0.85
"87","Gibert","MU","MU2",0.766666666666667,0.0577350269189626,0.8,0.7,0.8,0.0333333333333334,0.0753065568508208,0.8
"88","Gibert","MU","MU20",0.693333333333333,0.0513160143944688,0.68,0.65,0.75,0.0296273147243853,0.0740134822997146,0.65
"89","Gibert","MU","MU3",0.65,0.05,0.65,0.6,0.7,0.0288675134594813,0.0769230769230769,0.65
"90","Gibert","MU","MU4",0.716666666666667,0.0763762615825973,0.7,0.65,0.8,0.0440958551844099,0.106571527789671,0.65
"91","Gibert","MU","MU5",0.82,0.0360555127546399,0.83,0.78,0.85,0.0208166599946613,0.0439701375056584,0.78
"92","Gibert","MU","MU6",0.62,0.0964365076099295,0.58,0.55,0.73,0.0556776436283002,0.155542754209564,0.58
