"Trait","Sex","R","P","P_bonf","Method","Label"
"CCRT","F",-0.0691615920090349,0.859665575120669,1,"pearson","CCRT_F"
"CCRT","M",0.154666059478317,0.691130544090108,1,"pearson","CCRT_M"
"CSM","F",0.482121847284732,0.18874130792586,1,"pearson","CSM_F"
"CSM","M",0.363369207520987,0.336438293008491,1,"pearson","CSM_M"
"Dia","F",0.0319497491567436,0.934967847085056,1,"pearson","Dia_F"
"DT_A","F",0.279045490363363,0.467139797702176,1,"pearson","DT_A_F"
"DT_A","M",0.241606488290684,0.531121549863977,1,"pearson","DT_A_M"
"DT_P",NA,-0.40423574290131,0.280552978390371,1,"pearson","DT_P_NA"
"DW","F",-0.00349891820741032,0.992872135078239,1,"pearson","DW_F"
"DW","M",0.2136375553126,0.580996213060619,1,"pearson","DW_M"
"Fec","F",0.212868925293966,0.582390054756315,1,"pearson","Fec_F"
"HSM","F",-0.066324100230209,0.865379966462217,1,"pearson","HSM_F"
"HSM","M",0.022816108356254,0.953539564865977,1,"pearson","HSM_M"
"LA_AbsPhase","B",0.289160331472216,0.450443975291973,1,"pearson","LA_AbsPhase_B"
"LA_Activity","B",-0.248624440805693,0.518876456973764,1,"pearson","LA_Activity_B"
"LA_CircPhase","B",0.138868639383587,0.721606103051144,1,"pearson","LA_CircPhase_B"
"LA_NDlog2","B",0.199370424536849,0.607059780027261,1,"pearson","LA_NDlog2_B"
"LA_Period","B",-0.0928236223178406,0.812253774669922,1,"pearson","LA_Period_B"
"LS","F",0.551048526376734,0.124110677177782,1,"pearson","LS_F"
"LS","M",0.684381914390154,0.0420005972917905,1,"pearson","LS_M"
"Pgm_T4","F",-0.238933223433686,0.53581519657959,1,"pearson","Pgm_T4_F"
"Pgm_T5","F",-0.222095812855854,0.565737898442844,1,"pearson","Pgm_T5_F"
"Pgm_T6","F",-0.277952368155493,0.468959674980034,1,"pearson","Pgm_T6_F"
"Pgm_Total","F",-0.289687919957429,0.449580318854629,1,"pearson","Pgm_Total_F"
"SR","F",0.363471119773908,0.336292591858374,1,"pearson","SR_F"
"SR","M",0.480501082644047,0.19044987725879,1,"pearson","SR_M"
"TL","F",-0.301372074663751,0.430639764006317,1,"pearson","TL_F"
"TL","M",-0.254438573709214,0.508817551448625,1,"pearson","TL_M"
"Via",NA,0.276362244551425,0.471612333029769,1,"pearson","Via_NA"
"WA_L","F",0.0272957938125329,0.944427979073428,1,"pearson","WA_L_F"
"WA_L","M",-0.246420596424818,0.52270969160452,1,"pearson","WA_L_M"
"WA_R","F",0.0142149629677542,0.97104639104364,1,"pearson","WA_R_F"
"WA_R","M",-0.232004118316763,0.54805490356905,1,"pearson","WA_R_M"
