Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	WA_L	StamenkovicRadak	M	VA	2468.25151119613	15.3426996191415
lmer	pop	WA_L	StamenkovicRadak	M	YE	2448.4882207671	13.0183030543129
lmer	pop	WA_R	Onder	F	AK	2821.53575303135	20.0624918346629
lmer	pop	WA_R	Onder	F	GI	2858.65922935903	20.8425030237916
lmer	pop	WA_R	Onder	F	KA	2862.24107122369	20.3147617223064
lmer	pop	WA_R	Onder	F	MA	2904.45979538785	19.4954322900405
lmer	pop	WA_R	Onder	F	MU	2855.39796184857	20.3174583504726
lmer	pop	WA_R	Onder	F	RE	2939.89288814499	20.6338261253933
lmer	pop	WA_R	Onder	F	UM	2904.28297498423	19.8047874665055
lmer	pop	WA_R	Onder	F	VA	2855.82073379445	22.2920532754233
lmer	pop	WA_R	Onder	F	YE	2820.3627877693	19.6506576237553
lmer	pop	WA_R	Posnien	F	AK	2551.94084814601	71.0772773702567
lmer	pop	WA_R	Posnien	F	GI	2692.19844417922	71.0772773702585
lmer	pop	WA_R	Posnien	F	KA	2602.15589931256	81.6615745197622
lmer	pop	WA_R	Posnien	F	MA	2668.28879572914	58.6118244357804
lmer	pop	WA_R	Posnien	F	MU	2529.28057254589	71.0772773702585
lmer	pop	WA_R	Posnien	F	RE	2753.08370692077	71.0772773702585
lmer	pop	WA_R	Posnien	F	UM	2649.48632970418	58.6118244357804
lmer	pop	WA_R	Posnien	F	VA	2489.41007406255	81.6615745197622
lmer	pop	WA_R	Posnien	F	YE	2624.15835184589	71.0772773702585
lmer	pop	WA_R	Ritchie	F	AK	2793.33203488959	81.0454481466175
lmer	pop	WA_R	Ritchie	F	GI	2587.41429866236	61.494583949218
lmer	pop	WA_R	Ritchie	F	KA	2689.79676567077	91.7188551673054
lmer	pop	WA_R	Ritchie	F	MA	2875.30150675938	67.3954987212089
lmer	pop	WA_R	Ritchie	F	MU	2813.56864469017	69.6252171234337
lmer	pop	WA_R	Ritchie	F	RE	2843.94733780608	74.9749357949041
lmer	pop	WA_R	Ritchie	F	UM	2921.87003858943	69.7533224867149
lmer	pop	WA_R	Ritchie	F	VA	2843.48899357331	92.0796730704325
lmer	pop	WA_R	Ritchie	F	YE	2801.93388513609	69.6805609413542
lmer	pop	WA_R	StamenkovicRadak	F	AK	2765.56581683706	15.181699056107
lmer	pop	WA_R	StamenkovicRadak	F	GI	2843.14696670126	16.7595942717293
lmer	pop	WA_R	StamenkovicRadak	F	KA	2810.24195384643	14.391719022174
lmer	pop	WA_R	StamenkovicRadak	F	MA	2861.46441703167	15.8237034416388
lmer	pop	WA_R	StamenkovicRadak	F	MU	2844.31660097211	15.6281143132758
lmer	pop	WA_R	StamenkovicRadak	F	RE	2933.01414804734	15.1621871510087
lmer	pop	WA_R	StamenkovicRadak	F	UM	2898.60195411637	14.5792501127393
lmer	pop	WA_R	StamenkovicRadak	F	VA	2848.72676306131	17.4231598062548
lmer	pop	WA_R	StamenkovicRadak	F	YE	2822.6666817298	14.7481446608745
lmer	pop	WA_R	Onder	M	AK	2455.12696821479	13.1987870762364
lmer	pop	WA_R	Onder	M	GI	2489.74258195524	14.0039211998206
lmer	pop	WA_R	Onder	M	KA	2480.69310406982	13.4496525750361
lmer	pop	WA_R	Onder	M	MA	2518.31913209898	12.4626082978875
lmer	pop	WA_R	Onder	M	MU	2480.10152881678	13.7053725040031
lmer	pop	WA_R	Onder	M	RE	2548.45096379364	13.9268874527075
lmer	pop	WA_R	Onder	M	UM	2518.49792951089	13.1029942312522
lmer	pop	WA_R	Onder	M	VA	2508.28055593981	15.7057018193354
lmer	pop	WA_R	Onder	M	YE	2448.54042910266	12.9069722885253
lmer	pop	WA_R	Posnien	M	AK	2238.44741377489	63.8271987313476
lmer	pop	WA_R	Posnien	M	GI	2346.77715394153	63.827198731347
lmer	pop	WA_R	Posnien	M	KA	2281.53081617485	73.3318683330511
lmer	pop	WA_R	Posnien	M	MA	2402.32314880838	52.6332564313266
lmer	pop	WA_R	Posnien	M	MU	2215.57304127485	63.827198731347
lmer	pop	WA_R	Posnien	M	RE	2433.26835495847	63.827198731347
lmer	pop	WA_R	Posnien	M	UM	2329.70673755828	52.6332564313265
lmer	pop	WA_R	Posnien	M	VA	2284.05788947485	73.3318683330511
lmer	pop	WA_R	Posnien	M	YE	2286.49286817485	63.827198731347
lmer	pop	WA_R	Ritchie	M	AK	2455.14426972664	48.9023424571554
lmer	pop	WA_R	Ritchie	M	GI	2428.5509066329	46.3530583442694
lmer	pop	WA_R	Ritchie	M	KA	2416.56998126686	49.0950025017855
lmer	pop	WA_R	Ritchie	M	MA	2497.3431828296	40.6115811539828
lmer	pop	WA_R	Ritchie	M	MU	2448.82201886881	42.1280698444028
lmer	pop	WA_R	Ritchie	M	RE	2473.98367607723	44.8949114517334
lmer	pop	WA_R	Ritchie	M	UM	2526.70403611624	42.4299480433533
lmer	pop	WA_R	Ritchie	M	VA	2464.96843293276	55.9849823613845
lmer	pop	WA_R	Ritchie	M	YE	2421.58214538955	42.2625563072915
lmer	pop	WA_R	StamenkovicRadak	M	AK	2410.6714242851	13.630255463743
lmer	pop	WA_R	StamenkovicRadak	M	GI	2475.74502260233	15.0371833515002
lmer	pop	WA_R	StamenkovicRadak	M	KA	2433.7619967229	12.9125243288982
lmer	pop	WA_R	StamenkovicRadak	M	MA	2488.58069813546	14.20127918048
lmer	pop	WA_R	StamenkovicRadak	M	MU	2467.17344298725	14.0378701003119
lmer	pop	WA_R	StamenkovicRadak	M	RE	2538.73550286468	13.6560490657761
lmer	pop	WA_R	StamenkovicRadak	M	UM	2522.12844359792	13.0838402518539
lmer	pop	WA_R	StamenkovicRadak	M	VA	2469.25247779308	15.6434263924935
lmer	pop	WA_R	StamenkovicRadak	M	YE	2448.81796315094	13.2722478059946
