Model	Trait	Sex	Population	Line	Value_re_Colinet	Value_re_Hoedjes	Value_re_Onder	SE_re_Colinet	SE_re_Hoedjes	SE_re_Onder
lmer_pop	DW	F	UM	UM22	-0.026	NA	0.002	0.011	NA	0.011
lmer_pop	DW	F	UM	UM23	-0.035	0.01	0.011	0.011	0.01	0.011
lmer_pop	DW	F	UM	UM25	0.079	0.026	0.044	0.011	0.01	0.011
lmer_pop	DW	F	UM	UM26	0.053	0.008	0.039	0.011	0.01	0.011
lmer_pop	DW	F	UM	UM28	-0.013	-0.015	-0.063	0.011	0.01	0.011
lmer_pop	DW	F	UM	UM29	-0.037	0.01	-0.026	0.011	0.01	0.011
lmer_pop	DW	F	UM	UM4	0.009	0.068	0.023	0.011	0.01	0.011
lmer_pop	DW	F	UM	UM5	-0.021	-0.025	-0.032	0.011	0.01	0.011
lmer_pop	DW	F	UM	UM7	0.025	-0.018	-0.043	0.011	0.01	0.011
lmer_pop	DW	F	UM	UM8	-0.021	-0.019	NA	0.011	0.01	NA
lmer_pop	DW	F	UM	UM9	0.027	0.056	0.024	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA1	-0.071	-0.07	-0.081	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA11	0.083	0.064	0.084	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA15	0.043	0.055	0.01	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA18	-0.025	0.011	-0.019	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA22	0.016	0.001	0.03	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA26	-0.078	-0.066	-0.036	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA30	0.019	0.037	0.003	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA34	-0.004	-0.017	0.021	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA35	-0.047	-0.001	-0.033	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA44	0.01	-0.012	0.029	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA46	0.043	0.049	0.003	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA47	0.039	0.067	0.044	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA48	-0.019	-0.014	-0.017	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA55	-0.035	-0.05	-0.02	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA57	0.06	0.015	0.05	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA6	0.021	-0.025	0.02	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA66	-0.004	0.022	-0.002	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA67	-0.022	-0.004	-0.022	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA71	0.013	0.006	-0.019	0.011	0.01	0.011
lmer_pop	DW	F	VA	VA9	-0.043	-0.067	-0.044	0.011	0.01	0.008
lmer_pop	DW	F	YE	YE11	-0.059	-0.025	NA	0.011	0.011	NA
lmer_pop	DW	F	YE	YE13	0	-0.012	0.009	0.011	0.01	0.011
lmer_pop	DW	F	YE	YE14	-0.027	-0.013	NA	0.011	0.009	NA
lmer_pop	DW	F	YE	YE15	-0.004	0.011	-0.021	0.011	0.01	0.011
lmer_pop	DW	F	YE	YE19	-0.031	-0.025	-0.03	0.011	0.01	0.011
lmer_pop	DW	F	YE	YE20	-0.014	0.032	-0.026	0.011	0.011	0.011
lmer_pop	DW	F	YE	YE21	0.054	0.023	0.016	0.011	0.009	0.011
lmer_pop	DW	F	YE	YE22	-0.001	-0.004	-0.035	0.011	0.01	0.011
lmer_pop	DW	F	YE	YE23	0.046	-0.041	0.013	0.011	0.01	0.011
lmer_pop	DW	F	YE	YE24	0.027	0.007	-0.008	0.011	0.011	0.011
lmer_pop	DW	F	YE	YE26	-0.029	0.02	-0.027	0.011	0.01	0.011
lmer_pop	DW	F	YE	YE27	0.011	0.036	0.03	0.011	0.01	0.011
lmer_pop	DW	F	YE	YE33	0.068	0.069	0.027	0.012	0.01	0.011
lmer_pop	DW	F	YE	YE40	-0.016	-0.035	-0.009	0.012	0.01	0.011
lmer_pop	DW	F	YE	YE41	-0.018	-0.012	-0.008	0.012	0.011	0.011
lmer_pop	DW	F	YE	YE48	-0.059	-0.036	-0.037	0.012	0.01	0.011
lmer_pop	DW	F	YE	YE49	-0.004	-0.036	-0.003	0.012	0.01	0.011
lmer_pop	DW	F	YE	YE51	-0.007	0.002	0.023	0.012	0.01	0.011
lmer_pop	DW	F	YE	YE69	0.013	-0.015	0.044	0.012	0.01	0.011
