Model	Trait	Sex	Population	Line	Value_re_Colinet	Value_re_Hoedjes	Value_re_Onder	SE_re_Colinet	SE_re_Hoedjes	SE_re_Onder
lmer_pop	DW	M	VA	VA46	0.036	0.025	0.026	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA47	0.039	0.056	0.033	0.005	0.006	0.007
lmer_pop	DW	M	VA	VA48	0.007	0.013	-0.007	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA55	-0.005	-0.031	0.018	0.005	0.006	0.007
lmer_pop	DW	M	VA	VA57	0.009	0.002	0.027	0.005	0.006	0.007
lmer_pop	DW	M	VA	VA6	-0.004	0.001	-0.001	0.005	0.006	0.006
lmer_pop	DW	M	VA	VA66	0.023	0.006	0.032	0.005	0.006	0.007
lmer_pop	DW	M	VA	VA67	-0.015	-0.007	-0.018	0.005	0.006	0.007
lmer_pop	DW	M	VA	VA71	-0.002	-0.006	-0.039	0.005	0.006	0.007
lmer_pop	DW	M	VA	VA9	-0.023	-0.024	-0.043	0.005	0.006	0.005
lmer_pop	DW	M	YE	YE11	-0.023	-0.039	NA	0.005	0.006	NA
lmer_pop	DW	M	YE	YE13	0.009	0.018	-0.003	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE14	-0.004	0.004	NA	0.005	0.005	NA
lmer_pop	DW	M	YE	YE15	0.012	-0.002	-0.002	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE19	-0.036	-0.03	-0.033	0.005	0.005	0.006
lmer_pop	DW	M	YE	YE20	-0.023	0.02	-0.018	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE21	-0.001	-0.014	0.004	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE22	-0.019	0.005	-0.021	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE23	-0.018	-0.019	-0.006	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE24	0.001	0.031	0.007	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE26	-0.011	-0.008	0.025	0.005	0.005	0.006
lmer_pop	DW	M	YE	YE27	0.037	0.024	0.04	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE33	0.019	0.015	-0.01	0.005	0.005	0.006
lmer_pop	DW	M	YE	YE40	0.011	-0.016	-0.004	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE41	0.019	-0.01	-0.017	0.005	0.006	0.006
lmer_pop	DW	M	YE	YE48	-0.013	-0.016	-0.007	0.005	0.006	0.007
lmer_pop	DW	M	YE	YE49	-0.012	-0.009	0.02	0.005	0.006	0.007
lmer_pop	DW	M	YE	YE51	-0.004	0.009	-0.008	0.005	0.006	0.007
lmer_pop	DW	M	YE	YE69	0.023	0.012	0.03	0.005	0.006	0.007
lmer_pop	DW	M	YE	YE80	0.033	0.024	0.002	0.005	0.006	0.007
lmer_pop	DW	M	MA	MA26	NA	-0.009	0.046	NA	0.006	0.006
lmer_pop	DW	M	MA	MA9	NA	0.003	-0.005	NA	0.006	0.006
lmer_pop	DW	M	UM	UM6	NA	0.008	0.006	NA	0.006	0.007
lmer_pop	DW	M	RE	RE1	NA	NA	0.009	NA	NA	0.006
