Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	DW	Colinet	F	AK	AK1	0.038	0.011
lmer_pop	DW	Colinet	F	AK	AK10	0.004	0.011
lmer_pop	DW	Colinet	F	AK	AK11	-0.004	0.011
lmer_pop	DW	Colinet	F	AK	AK12	-0.022	0.011
lmer_pop	DW	Colinet	F	AK	AK13	-0.013	0.012
lmer_pop	DW	Colinet	F	AK	AK14	-0.031	0.012
lmer_pop	DW	Colinet	F	AK	AK15	-0.048	0.012
lmer_pop	DW	Colinet	F	AK	AK16	0.013	0.012
lmer_pop	DW	Colinet	F	AK	AK17	-0.042	0.012
lmer_pop	DW	Colinet	F	AK	AK18	0.021	0.012
lmer_pop	DW	Colinet	F	AK	AK2	0.061	0.011
lmer_pop	DW	Colinet	F	AK	AK20	-0.068	0.012
lmer_pop	DW	Colinet	F	AK	AK21	-0.022	0.012
lmer_pop	DW	Colinet	F	AK	AK3	0.033	0.011
lmer_pop	DW	Colinet	F	AK	AK4	0.025	0.011
lmer_pop	DW	Colinet	F	AK	AK5	0.044	0.011
lmer_pop	DW	Colinet	F	AK	AK6	0.018	0.011
lmer_pop	DW	Colinet	F	AK	AK7	0.006	0.011
lmer_pop	DW	Colinet	F	AK	AK8	0.029	0.011
lmer_pop	DW	Colinet	F	AK	AK9	-0.041	0.011
lmer_pop	DW	Colinet	F	GI	GI1	0.036	0.011
lmer_pop	DW	Colinet	F	GI	GI10	-0.019	0.011
lmer_pop	DW	Colinet	F	GI	GI11	-0.046	0.011
lmer_pop	DW	Colinet	F	GI	GI12	-0.006	0.011
lmer_pop	DW	Colinet	F	GI	GI13	0.075	0.011
lmer_pop	DW	Colinet	F	GI	GI14	0.047	0.011
lmer_pop	DW	Colinet	F	GI	GI15	-0.05	0.011
lmer_pop	DW	Colinet	F	GI	GI2	-0.028	0.011
lmer_pop	DW	Colinet	F	GI	GI3	-0.025	0.011
lmer_pop	DW	Colinet	F	GI	GI4	-0.015	0.011
lmer_pop	DW	Colinet	F	GI	GI5	0.008	0.011
lmer_pop	DW	Colinet	F	GI	GI6	0.043	0.011
lmer_pop	DW	Colinet	F	GI	GI7	0.013	0.011
lmer_pop	DW	Colinet	F	GI	GI8	-0.042	0.011
lmer_pop	DW	Colinet	F	GI	GI9	0.009	0.011
lmer_pop	DW	Colinet	F	KA	KA1	-0.03	0.011
lmer_pop	DW	Colinet	F	KA	KA10	0.012	0.011
lmer_pop	DW	Colinet	F	KA	KA11	0.061	0.011
lmer_pop	DW	Colinet	F	KA	KA13	-0.085	0.011
lmer_pop	DW	Colinet	F	KA	KA14	-0.015	0.011
lmer_pop	DW	Colinet	F	KA	KA15	-0.024	0.011
lmer_pop	DW	Colinet	F	KA	KA16	-0.008	0.011
lmer_pop	DW	Colinet	F	KA	KA17	0.026	0.011
lmer_pop	DW	Colinet	F	KA	KA18	0.014	0.011
lmer_pop	DW	Colinet	F	KA	KA2	0.022	0.011
lmer_pop	DW	Colinet	F	KA	KA23	-0.023	0.011
lmer_pop	DW	Colinet	F	KA	KA24	-0.005	0.011
lmer_pop	DW	Colinet	F	KA	KA25	-0.002	0.011
lmer_pop	DW	Colinet	F	KA	KA28	0.012	0.011
lmer_pop	DW	Colinet	F	KA	KA29	0.001	0.011
lmer_pop	DW	Colinet	F	KA	KA3	0.042	0.011
lmer_pop	DW	Colinet	F	KA	KA5	-0.013	0.011
lmer_pop	DW	Colinet	F	KA	KA6	-0.018	0.011
lmer_pop	DW	Colinet	F	KA	KA7	-0.002	0.011
lmer_pop	DW	Colinet	F	KA	KA9	0.035	0.011
lmer_pop	DW	Colinet	F	MA	MA12	-0.007	0.011
lmer_pop	DW	Colinet	F	MA	MA13	0.002	0.011
lmer_pop	DW	Colinet	F	MA	MA16	-0.061	0.011
lmer_pop	DW	Colinet	F	MA	MA18	0.041	0.011
lmer_pop	DW	Colinet	F	MA	MA19	-0.022	0.011
lmer_pop	DW	Colinet	F	MA	MA20	0.012	0.011
lmer_pop	DW	Colinet	F	MA	MA21	0.051	0.011
lmer_pop	DW	Colinet	F	MA	MA23	0.008	0.011
lmer_pop	DW	Colinet	F	MA	MA27	-0.024	0.012
lmer_pop	DW	Colinet	F	MA	MA28	0.047	0.012
lmer_pop	DW	Colinet	F	MA	MA3	-0.02	0.011
lmer_pop	DW	Colinet	F	MA	MA30	0.028	0.012
lmer_pop	DW	Colinet	F	MA	MA31	0.008	0.012
lmer_pop	DW	Colinet	F	MA	MA32	-0.005	0.012
lmer_pop	DW	Colinet	F	MA	MA33	-0.035	0.012
lmer_pop	DW	Colinet	F	MA	MA5	0.004	0.011
lmer_pop	DW	Colinet	F	MA	MA6	0.004	0.011
lmer_pop	DW	Colinet	F	MA	MA7	-0.029	0.011
lmer_pop	DW	Colinet	F	MU	MU1	-0.037	0.011
lmer_pop	DW	Colinet	F	MU	MU10	-0.046	0.011
lmer_pop	DW	Colinet	F	MU	MU11	0.029	0.011
lmer_pop	DW	Colinet	F	MU	MU12	0.043	0.011
lmer_pop	DW	Colinet	F	MU	MU13	-0.024	0.012
lmer_pop	DW	Colinet	F	MU	MU14	-0.007	0.012
lmer_pop	DW	Colinet	F	MU	MU15	0.031	0.012
lmer_pop	DW	Colinet	F	MU	MU16	-0.022	0.012
lmer_pop	DW	Colinet	F	MU	MU17	0.015	0.012
lmer_pop	DW	Colinet	F	MU	MU18	0.022	0.012
lmer_pop	DW	Colinet	F	MU	MU19	0.044	0.012
lmer_pop	DW	Colinet	F	MU	MU2	-0.012	0.011
lmer_pop	DW	Colinet	F	MU	MU20	0.022	0.012
lmer_pop	DW	Colinet	F	MU	MU3	0.022	0.011
lmer_pop	DW	Colinet	F	MU	MU4	-0.012	0.011
lmer_pop	DW	Colinet	F	MU	MU5	0.035	0.011
lmer_pop	DW	Colinet	F	MU	MU6	-0.018	0.011
lmer_pop	DW	Colinet	F	MU	MU7	-0.033	0.011
lmer_pop	DW	Colinet	F	MU	MU8	-0.004	0.011
lmer_pop	DW	Colinet	F	MU	MU9	-0.049	0.011
lmer_pop	DW	Colinet	F	RE	RE10	-0.005	0.011
lmer_pop	DW	Colinet	F	RE	RE11	-0.031	0.011
lmer_pop	DW	Colinet	F	RE	RE12	0.024	0.011
lmer_pop	DW	Colinet	F	RE	RE13	0.035	0.011
lmer_pop	DW	Colinet	F	RE	RE15	-0.064	0.011
lmer_pop	DW	Colinet	F	RE	RE16	0.006	0.011
lmer_pop	DW	Colinet	F	RE	RE17	-0.009	0.011
lmer_pop	DW	Colinet	F	RE	RE18	0.019	0.011
lmer_pop	DW	Colinet	F	RE	RE2	0.068	0.011
lmer_pop	DW	Colinet	F	RE	RE3	-0.016	0.011
lmer_pop	DW	Colinet	F	RE	RE4	0.006	0.011
lmer_pop	DW	Colinet	F	RE	RE5	-0.038	0.011
lmer_pop	DW	Colinet	F	RE	RE6	0.018	0.011
lmer_pop	DW	Colinet	F	RE	RE7	0.013	0.011
lmer_pop	DW	Colinet	F	RE	RE8	-0.025	0.011
lmer_pop	DW	Colinet	F	UM	UM13	-0.007	0.011
lmer_pop	DW	Colinet	F	UM	UM17	-0.07	0.011
lmer_pop	DW	Colinet	F	UM	UM18	0.019	0.011
lmer_pop	DW	Colinet	F	UM	UM2	-0.015	0.011
lmer_pop	DW	Colinet	F	UM	UM20	0.045	0.011
lmer_pop	DW	Colinet	F	UM	UM21	-0.012	0.011
lmer_pop	DW	Colinet	F	UM	UM22	-0.026	0.011
lmer_pop	DW	Colinet	F	UM	UM23	-0.035	0.011
lmer_pop	DW	Colinet	F	UM	UM25	0.079	0.011
lmer_pop	DW	Colinet	F	UM	UM26	0.053	0.011
lmer_pop	DW	Colinet	F	UM	UM28	-0.013	0.011
lmer_pop	DW	Colinet	F	UM	UM29	-0.037	0.011
lmer_pop	DW	Colinet	F	UM	UM4	0.009	0.011
lmer_pop	DW	Colinet	F	UM	UM5	-0.021	0.011
lmer_pop	DW	Colinet	F	UM	UM7	0.025	0.011
lmer_pop	DW	Colinet	F	UM	UM8	-0.021	0.011
lmer_pop	DW	Colinet	F	UM	UM9	0.027	0.011
lmer_pop	DW	Colinet	F	VA	VA1	-0.071	0.011
lmer_pop	DW	Colinet	F	VA	VA11	0.083	0.011
lmer_pop	DW	Colinet	F	VA	VA15	0.043	0.011
lmer_pop	DW	Colinet	F	VA	VA18	-0.025	0.011
lmer_pop	DW	Colinet	F	VA	VA22	0.016	0.011
lmer_pop	DW	Colinet	F	VA	VA26	-0.078	0.011
lmer_pop	DW	Colinet	F	VA	VA30	0.019	0.011
lmer_pop	DW	Colinet	F	VA	VA34	-0.004	0.011
lmer_pop	DW	Colinet	F	VA	VA35	-0.047	0.011
lmer_pop	DW	Colinet	F	VA	VA44	0.01	0.011
lmer_pop	DW	Colinet	F	VA	VA46	0.043	0.011
lmer_pop	DW	Colinet	F	VA	VA47	0.039	0.011
lmer_pop	DW	Colinet	F	VA	VA48	-0.019	0.011
lmer_pop	DW	Colinet	F	VA	VA55	-0.035	0.011
lmer_pop	DW	Colinet	F	VA	VA57	0.06	0.011
lmer_pop	DW	Colinet	F	VA	VA6	0.021	0.011
lmer_pop	DW	Colinet	F	VA	VA66	-0.004	0.011
