"Supervisor.PI","Diet","Batch","Population","Line","Data.Label","Sex","ReplicateChamberOld","ReplicateChamber","Period","CircPhase","AbsPhase","Experiment","ND","Activity","Country","Latitude","Longitude","Altitude"
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",23.14,23.85,12.4,1,0.974359,46.2,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",24.56,15.15,12.5,1,0.983471,48,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",28.1,0.85,13.9,1,0.933333,46.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",23.78,11.3,12.5,1,0.907563,45.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",25.94,23.96,0.4,1,0.958678,47.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",24.3,10.96,18.1,1,0.97479,47,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",23.84,9.46,22.6,1,0.876033,45.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",23.9,5.12,20.9,1,0.983051,46.8,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",25,0,23.6,1,1,46.8,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",24.66,23.65,12.8,1,1,47.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",29.12,23.82,29,1,0.966387,46.8,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE7","RE 7-10-18","M",2,"Tauber_1_RE7_M_2",26.52,19.46,12.8,1,1.009009,44.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE7","RE 7-10-18","M",2,"Tauber_1_RE7_M_2",25.22,6.66,12.6,1,0.758621,40.8,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE8","RE 8-10-18","M",2,"Tauber_1_RE8_M_2",23.78,10.5,21.5,1,0.966667,47.2,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE8","RE 8-10-18","M",2,"Tauber_1_RE8_M_2",23.98,7.61,12.4,1,0.991597,47.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE10","RE 10-10-18","M",2,"Tauber_1_RE10_M_2",24.4,9.84,12.5,1,0.892562,45.8,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE10","RE 10-10-18","M",2,"Tauber_1_RE10_M_2",24.4,22.62,12.5,1,0.991736,48.2,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE10","RE 10-10-18","M",2,"Tauber_1_RE10_M_2",25,9.41,12.5,1,0.983471,48,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE10","RE 10-10-18","M",2,"Tauber_1_RE10_M_2",24.52,4.5,12.2,1,0.991736,48.2,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"KA","KA10","KA 10-10-18","M",2,"Tauber_1_KA10_M_2",24.48,8.04,12.3,1,0.991597,47.4,"Denmark",55.945,10.213,15
"Tauber","NS",1,"KA","KA10","KA 10-10-18","M",2,"Tauber_1_KA10_M_2",23.88,10.95,12,1,0.504132,36.4,"Denmark",55.945,10.213,15
"Tauber","NS",1,"KA","KA10","KA 10-10-18","M",2,"Tauber_1_KA10_M_2",22.68,17.46,12.2,1,0.935185,41.8,"Denmark",55.945,10.213,15
"Tauber","NS",1,"RE","RE11","RE 11-10-18","M",1,"Tauber_1_RE11_M_1",24.7,12.05,12.1,1,0.905983,44.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE11","RE 11-10-18","M",1,"Tauber_1_RE11_M_1",22.32,23.33,12.5,1,1.008403,47.8,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE11","RE 11-10-18","M",1,"Tauber_1_RE11_M_1",21.74,1.1,12.6,1,0.432432,21.2,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE11","RE 11-10-18","M",1,"Tauber_1_RE11_M_1",22.8,22.42,12.8,1,0.974576,46.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE11","RE 11-10-18","M",1,"Tauber_1_RE11_M_1",23.92,22.37,12.2,1,0.83,36.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE11","RE 11-10-18","M",1,"Tauber_1_RE11_M_1",23.3,17.41,12.8,1,0.695652,39,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE11","RE 11-10-18","M",1,"Tauber_1_RE11_M_1",25.54,10.24,12.6,1,0.939655,45,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"VA","VA6","VA 6-8-18","M",1,"Tauber_1_VA6_M_1",23.98,8.91,12.4,1,0.508929,33.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA6","VA 6-8-18","M",1,"Tauber_1_VA6_M_1",25.2,12.1,12.1,1,0.876289,36.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA6","VA 6-8-18","M",1,"Tauber_1_VA6_M_1",24.3,11.85,12.4,1,0.536082,29.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA6","VA 6-8-18","M",1,"Tauber_1_VA6_M_1",23.46,11.36,12.3,1,0.714286,26.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA6","VA 6-8-18","M",1,"Tauber_1_VA6_M_1",25.28,11.58,12.5,1,0.357143,19,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA6","VA 6-8-18","M",1,"Tauber_1_VA6_M_1",23.24,5.68,12,1,0.265306,24.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA9","VA 9-8-18","M",1,"Tauber_1_VA9_M_1",24.76,5.62,12.6,1,0.594059,32.2,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA9","VA 9-8-18","M",1,"Tauber_1_VA9_M_1",23.4,11.69,12.5,1,0.915254,45.2,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA9","VA 9-8-18","M",1,"Tauber_1_VA9_M_1",23.36,11.82,12.2,1,0.252632,23.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA9","VA 9-8-18","M",1,"Tauber_1_VA9_M_1",24.44,2.26,12.4,1,0.5,30.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA9","VA 9-8-18","M",1,"Tauber_1_VA9_M_1",23.96,12.02,12.4,1,0.755556,15.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA9","VA 9-8-18","M",1,"Tauber_1_VA9_M_1",24.3,10.07,12.5,1,0.419753,23,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA9","VA 9-8-18","M",1,"Tauber_1_VA9_M_1",24.62,11.7,12.4,1,0.972603,28.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA11","VA 11-8-18","M",1,"Tauber_1_VA11_M_1",24.4,12.49,12.3,1,0.730769,36,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA11","VA 11-8-18","M",1,"Tauber_1_VA11_M_1",23.96,12.92,12.5,1,0.417722,22.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA11","VA 11-8-18","M",1,"Tauber_1_VA11_M_1",26.58,21.67,12,1,0.747475,34.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA11","VA 11-8-18","M",1,"Tauber_1_VA11_M_1",23.74,11.02,12.5,1,0.72,34.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA11","VA 11-8-18","M",1,"Tauber_1_VA11_M_1",23.88,11.26,22.2,1,0.786325,41.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA11","VA 11-8-18","M",1,"Tauber_1_VA11_M_1",22.46,22.33,12.3,1,1,40,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA11","VA 11-8-18","M",1,"Tauber_1_VA11_M_1",25.32,6.73,0.6,1,0.762376,35.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA11","VA 11-8-18","M",1,"Tauber_1_VA11_M_1",24.14,9.35,12.5,1,0.72973,38.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA15","VA 15-8-18","M",1,"Tauber_1_VA15_M_1",25.26,17.1,13.2,1,0.991736,48.2,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA15","VA 15-8-18","M",1,"Tauber_1_VA15_M_1",27.14,22.64,12.4,1,0.826087,33.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA15","VA 15-8-18","M",1,"Tauber_1_VA15_M_1",24.88,11.67,12.4,1,0.98,39.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA15","VA 15-8-18","M",1,"Tauber_1_VA15_M_1",24.62,10.24,12.5,1,0.942149,47,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA15","VA 15-8-18","M",1,"Tauber_1_VA15_M_1",23.76,9.7,12.5,1,0.655172,38.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA15","VA 15-8-18","M",1,"Tauber_1_VA15_M_1",24.74,12.61,12.7,1,1.106796,43.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA18","VA 18-8-18","M",1,"Tauber_1_VA18_M_1",22.6,0,12.5,1,0.666667,27,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA18","VA 18-8-18","M",1,"Tauber_1_VA18_M_1",23.02,13.97,12.6,1,0.694915,20,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA18","VA 18-8-18","M",1,"Tauber_1_VA18_M_1",21.04,23.5,12.6,1,0.759615,36.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA18","VA 18-8-18","M",1,"Tauber_1_VA18_M_1",25.84,1.21,12.4,1,0.912281,43.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA18","VA 18-8-18","M",1,"Tauber_1_VA18_M_1",24.26,1.29,11.9,1,0.791209,32.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA18","VA 18-8-18","M",1,"Tauber_1_VA18_M_1",22.74,23.32,12.3,1,0.522936,33.2,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA18","VA 18-8-18","M",1,"Tauber_1_VA18_M_1",25.98,6.19,12.3,1,0.743119,38,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA18","VA 18-8-18","M",1,"Tauber_1_VA18_M_1",23.84,12.28,12.5,1,0.59,31.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA22","VA 22-8-19","M",1,"Tauber_1_VA22_M_1",25.84,5.94,12.6,1,0.785124,43.2,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA22","VA 22-8-19","M",1,"Tauber_1_VA22_M_1",22.44,22.67,12.7,1,0.927928,42.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA22","VA 22-8-19","M",1,"Tauber_1_VA22_M_1",24.24,11.39,11.4,1,0.793814,34.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA22","VA 22-8-19","M",4,"Tauber_1_VA22_M_4",23.5,19.4,12.7,1,1.065789,31.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA22","VA 22-8-18","M",4,"Tauber_1_VA22_M_4",24.06,11.97,12.5,1,0.716667,41.2,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA22","VA 22-8-18","M",4,"Tauber_1_VA22_M_4",24.28,16.41,12.5,1,0.983051,46.8,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA22","VA 22-8-18","M",4,"Tauber_1_VA22_M_4",24.28,13.15,11.9,1,0.372093,23.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA22","VA 22-8-18","M",4,"Tauber_1_VA22_M_4",23.46,17.49,0,1,1.772727,12.2,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA26","VA 26-8-18","M",4,"Tauber_1_VA26_M_4",24.16,9.34,12.5,1,0.263158,14.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA26","VA 26-8-18","M",4,"Tauber_1_VA26_M_4",23.86,1.71,12.4,1,0.481481,24,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA26","VA 26-8-18","M",4,"Tauber_1_VA26_M_4",22.24,17.16,12.5,1,0.56,31.2,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA26","VA 26-8-18","M",4,"Tauber_1_VA26_M_4",22.6,13.17,12.5,1,0.705263,32.4,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA34","VA 34-8-18","M",4,"Tauber_1_VA34_M_4",23.64,13.4,12.5,1,0.989691,38.6,"Russia",57.979,33.244,217
"Tauber","NS",1,"VA","VA34","VA 34-8-18","M",4,"Tauber_1_VA34_M_4",23.84,2.52,12.5,1,1.203704,23.8,"Russia",57.979,33.244,217
