Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,MostAdvancedStage,NumberOfEggs,Country,Latitude,Longitude,Altitude
Bergland,S,2,AK,AK7,F,13,7,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,14,7,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,15,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,16,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,17,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,18,8,3,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,19,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,1,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,2,8,3,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,3,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,5,9,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,6,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,7,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,8,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,9,0,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,10,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,11,8,2,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,12,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,13,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,14,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,15,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,16,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,17,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,18,10,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,19,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK8,F,20,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,1,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,2,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,3,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,4,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,5,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,6,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,7,10,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,8,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,9,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,10,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,11,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,12,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,13,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,14,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,15,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK9,F,16,8,4,Finland,61.100,23.520,88
Bergland,S,2,GI,GI1,F,1,8,3,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,2,9,2,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,3,10,1,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,4,9,1,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,5,9,2,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,6,8,1,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,7,10,6,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,8,8,0,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,9,8,3,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,10,9,2,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,11,8,1,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,12,8,1,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,13,9,7,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,14,8,4,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,15,8,2,Spain,41.618, 0.620,173
Bergland,S,2,GI,GI1,F,16,8,1,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,1,9,2,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,2,9,2,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,3,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,4,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,5,9,1,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,6,9,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,7,8,2,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,8,9,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,9,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,10,8,2,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,11,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,12,8,3,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,13,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,14,0,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,15,8,1,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,16,8,1,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,17,7,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI10,F,18,8,4,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,1,9,1,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,2,9,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,3,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,4,8,1,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,5,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,6,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,7,8,1,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,8,8,2,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,9,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,10,8,1,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,11,10,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,12,10,2,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,13,8,1,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,14,9,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,15,9,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,16,8,0,Spain,41.618, 0.620,173
Bergland,S,3,GI,GI11,F,17,8,0,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,1,8,0,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,2,0,0,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,3,8,4,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,4,10,0,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,5,7,0,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,6,8,1,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,7,7,0,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,8,0,0,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,9,8,0,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,10,8,1,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,11,8,0,Spain,41.618, 0.620,173
Bergland,S,1,GI,GI12,F,12,7,0,Spain,41.618, 0.620,173
