Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,MostAdvancedStage,NumberOfEggs,Country,Latitude,Longitude,Altitude
Bergland,S,3,AK,AK1,F,1,9,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,2,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,3,10,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,5,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,6,8,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,7,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,8,9,4,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,9,9,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,10,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,11,10,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK1,F,12,8,2,Finland,61.100,23.520,88
Bergland,S,1,AK,AK10,F,1,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK10,F,2,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK10,F,3,8,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK10,F,4,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK10,F,5,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK10,F,6,0,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK10,F,7,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,1,9,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,2,9,4,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,3,9,4,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,4,9,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,5,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,6,10,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,7,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,8,0,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,9,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,10,10,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,11,8,4,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,12,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,13,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,14,9,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,15,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,16,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK11,F,17,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,1,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,2,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,3,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,5,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,6,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,7,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,8,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,9,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,10,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,11,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,12,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,13,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,14,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,15,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,16,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,17,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,18,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,19,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,20,10,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,21,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,22,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK12,F,23,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,1,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,2,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,3,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,4,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,5,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,6,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,7,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,8,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,9,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,10,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,11,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,12,7,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,13,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,14,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,15,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,16,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,17,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,18,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,19,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,20,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,21,8,4,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,22,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,23,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK14,F,24,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,1,10,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,2,10,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,3,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,4,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,5,9,8,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,6,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,7,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,8,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,9,9,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,10,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,11,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,12,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,13,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,14,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK15,F,15,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,1,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,2,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,3,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,5,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,6,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,7,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,8,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,9,8,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,10,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,11,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,12,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,13,8,4,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,14,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,15,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,16,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,17,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,18,7,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,19,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,20,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,21,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,22,9,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,23,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK16,F,24,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,1,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,2,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,3,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,5,9,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,6,8,4,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,7,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,8,9,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,9,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,10,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,11,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,12,8,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,13,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,14,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,15,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,16,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK17,F,17,8,3,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,1,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,2,9,2,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,3,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,4,8,2,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,5,8,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,6,9,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,7,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,8,9,2,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,9,10,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,10,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK18,F,11,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,1,10,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,2,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,3,10,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,5,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,6,8,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,7,8,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,8,10,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,9,9,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,10,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,11,8,3,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,12,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,13,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,14,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,15,8,1,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,16,8,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,17,9,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,18,9,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,19,10,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,20,10,4,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,21,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,22,9,0,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,23,10,2,Finland,61.100,23.520,88
Bergland,S,3,AK,AK2,F,24,9,2,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,1,10,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,2,0,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,3,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,4,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,5,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,6,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,7,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,8,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,9,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,10,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,11,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK20,F,12,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,1,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,2,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,3,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,5,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,6,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,7,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,8,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,9,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,10,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,11,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK21,F,12,10,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,1,7,5,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,2,7,4,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,3,0,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,4,7,4,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,5,7,4,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,6,7,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,7,8,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,8,0,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,9,7,4,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,10,7,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK4,F,11,7,2,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,1,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,2,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,3,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,5,10,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,6,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,7,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,8,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,9,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,10,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,11,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,12,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,13,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,14,0,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,15,10,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,16,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,17,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,18,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK5,F,19,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,1,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,2,9,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,3,10,2,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,5,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,6,10,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,7,9,2,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,8,9,2,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,9,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,10,9,4,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,11,9,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,12,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,13,8,1,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,14,8,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,15,8,2,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,16,9,0,Finland,61.100,23.520,88
Bergland,S,1,AK,AK6,F,17,9,2,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,1,9,3,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,2,10,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,3,8,2,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,4,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,5,9,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,6,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,7,8,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,8,8,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,9,7,0,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,10,7,1,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,11,8,2,Finland,61.100,23.520,88
Bergland,S,2,AK,AK7,F,12,7,0,Finland,61.100,23.520,88
