Model	Trait	Sex	Population	Line	Coef_Billeter	Coef_Fricke	SE_Billeter	SE_Fricke
lmer_pop	Fec	F	AK	AK1	121.880079406603	NA	21.2851230888584	NA
lmer_pop	Fec	F	AK	AK10	58.933079406603	66.4500193429492	21.2851230888584	13.8400787544869
lmer_pop	Fec	F	AK	AK11	59.602079406603	70.6710193429492	21.2851230888584	13.3234516522708
lmer_pop	Fec	F	AK	AK12	109.184079406603	77.7360193429492	21.2851230888584	14.5015073330464
lmer_pop	Fec	F	AK	AK13	100.096079406603	44.5690193429492	21.2851230888584	19.4963285756678
lmer_pop	Fec	F	AK	AK14	142.194079406603	66.3270193429492	21.2851230888584	15.2843366859802
lmer_pop	Fec	F	AK	AK15	149.628079406603	24.9850193429492	22.5835744271772	11.861149182537
lmer_pop	Fec	F	AK	AK16	93.537079406603	53.7430193429492	19.3697369343998	13.3312038064985
lmer_pop	Fec	F	AK	AK17	100.498079406603	38.9480193429492	19.3697369343998	13.8749796371165
lmer_pop	Fec	F	AK	AK18	78.178079406603	62.0850193429492	21.2851230888584	12.2091907565735
lmer_pop	Fec	F	AK	AK2	111.857079406603	61.3830193429492	21.2851230888584	16.2850993220919
lmer_pop	Fec	F	AK	AK20	39.555079406603	88.3590193429492	21.2851230888584	14.5032760068337
lmer_pop	Fec	F	AK	AK21	126.290079406603	38.3740193429492	21.2851230888584	11.2478914882034
lmer_pop	Fec	F	AK	AK3	108.248079406603	57.0250193429492	21.2851230888584	17.6427889782313
lmer_pop	Fec	F	AK	AK4	61.205079406603	54.8930193429492	21.2851230888584	19.4916398214824
lmer_pop	Fec	F	AK	AK5	119.474079406603	78.7000193429492	21.2851230888584	13.4831131023365
lmer_pop	Fec	F	AK	AK6	88.822079406603	49.8380193429492	24.2437499143151	17.6427889782313
lmer_pop	Fec	F	AK	AK7	103.505079406603	62.2660193429492	22.5835744271772	13.327758210982
lmer_pop	Fec	F	AK	AK8	70.561079406603	110.091019342949	21.2851230888584	14.5395470331919
lmer_pop	Fec	F	AK	AK9	98.091079406603	54.0380193429492	21.2851230888584	17.598473653428
lmer_pop	Fec	F	GI	GI1	73.128385341163	36.6852779406159	21.8806709343221	14.8868347815494
lmer_pop	Fec	F	GI	GI10	85.023385341163	57.1012779406159	21.8806709343221	13.1751909592669
lmer_pop	Fec	F	GI	GI11	68.461385341163	38.4112779406159	20.0223376391491	14.790475205792
lmer_pop	Fec	F	GI	GI12	59.286385341163	24.3842779406159	20.0223376391491	13.5968349924954
lmer_pop	Fec	F	GI	GI13	60.699385341163	46.6902779406159	21.8806709343221	14.790475205792
lmer_pop	Fec	F	GI	GI14	66.981385341163	70.4912779406159	21.8806709343221	14.7523355714662
lmer_pop	Fec	F	GI	GI15	36.510385341163	71.4262779406159	21.8806709343221	14.1723514214526
lmer_pop	Fec	F	GI	GI2	59.897385341163	54.4692779406159	21.8806709343221	15.5729805051296
lmer_pop	Fec	F	GI	GI3	62.971385341163	50.7222779406159	21.8806709343221	14.7514691408398
lmer_pop	Fec	F	GI	GI4	100.926385341163	32.9962779406159	21.8806709343221	14.7939440587407
lmer_pop	Fec	F	GI	GI5	78.608385341163	47.0232779406159	21.8806709343221	13.2291345829252
lmer_pop	Fec	F	GI	GI6	63.640385341163	54.0372779406159	21.8806709343221	15.545674022478
lmer_pop	Fec	F	GI	GI7	80.345385341163	59.3982779406159	21.8806709343221	14.2861457998002
lmer_pop	Fec	F	GI	GI8	116.964385341163	40.3432779406159	21.8806709343221	19.6979248098156
lmer_pop	Fec	F	GI	GI9	99.456385341163	66.4242779406159	21.8806709343221	15.5861982796687
lmer_pop	Fec	F	KA	KA1	89.9433628500325	NA	21.2739150194024	NA
lmer_pop	Fec	F	KA	KA10	104.510362850032	38.8455512665477	21.2739150194024	12.8474269576721
lmer_pop	Fec	F	KA	KA11	112.262362850032	52.3565512665477	21.2739150194024	15.1997394527906
lmer_pop	Fec	F	KA	KA13	108.291362850032	40.6195512665477	22.5730110807743	14.4629066384568
lmer_pop	Fec	F	KA	KA14	114.935362850032	61.1195512665477	21.2739150194024	13.316116116673
lmer_pop	Fec	F	KA	KA15	99.4043628500325	63.8365512665477	18.6252524614502	12.9015064404402
lmer_pop	Fec	F	KA	KA16	88.4733628500325	62.3525512665477	21.2739150194024	13.316116116673
lmer_pop	Fec	F	KA	KA17	72.1683628500325	40.6355512665477	21.2739150194024	12.1178207377696
lmer_pop	Fec	F	KA	KA18	103.308362850032	52.5495512665477	21.2739150194024	13.2103164395377
lmer_pop	Fec	F	KA	KA2	140.862362850032	50.5355512665477	21.2739150194024	14.4575689669017
lmer_pop	Fec	F	KA	KA23	103.308362850032	49.0055512665477	21.2739150194024	14.3766783170772
lmer_pop	Fec	F	KA	KA24	74.3073628500325	36.6335512665477	21.2739150194024	11.5774375590076
lmer_pop	Fec	F	KA	KA25	97.9563628500325	68.8175512665477	22.5730110807743	14.4264429237674
lmer_pop	Fec	F	KA	KA28	159.438362850032	63.3435512665477	21.2739150194024	15.2114492548448
lmer_pop	Fec	F	KA	KA29	150.217362850032	57.7055512665477	21.2739150194024	13.2354402810303
lmer_pop	Fec	F	KA	KA3	116.004362850032	28.7425512665477	21.2739150194024	13.2605799433026
lmer_pop	Fec	F	KA	KA5	108.252362850032	64.3305512665477	21.2739150194024	13.9089201749352
lmer_pop	Fec	F	KA	KA6	94.3533628500325	43.9055512665477	21.2739150194024	17.5426190585305
lmer_pop	Fec	F	KA	KA7	98.4963628500325	NA	21.2739150194024	NA
