Model	Trait	Sex	Population	Line	Value_re_Billeter	Value_re_Fricke	SE_re_Billeter	SE_re_Fricke
lmer_pop	Fec	F	MA	MA7	-12.108	-14.202	19.216	18.278
lmer_pop	Fec	F	MU	MU1	-15.02	1.173	20.645	13.736
lmer_pop	Fec	F	MU	MU10	2.11	8.949	19.216	10.457
lmer_pop	Fec	F	MU	MU11	-38.384	14.328	19.216	11.446
lmer_pop	Fec	F	MU	MU12	6.654	-12.504	19.216	13.9
lmer_pop	Fec	F	MU	MU13	-46.002	NA	19.216	NA
lmer_pop	Fec	F	MU	MU14	20.82	-3.596	19.216	12.813
lmer_pop	Fec	F	MU	MU15	-8.983	-11.765	19.216	18.278
lmer_pop	Fec	F	MU	MU16	-22.213	NA	19.216	NA
lmer_pop	Fec	F	MU	MU17	58.408	-5.455	20.645	12.855
lmer_pop	Fec	F	MU	MU18	-16.734	-3.563	19.216	9.752
lmer_pop	Fec	F	MU	MU19	7.188	-10.088	19.216	13.703
lmer_pop	Fec	F	MU	MU2	38.194	-0.806	19.216	12.19
lmer_pop	Fec	F	MU	MU3	-4.973	-17.527	19.216	13.686
lmer_pop	Fec	F	MU	MU4	-22.352	31.917	28.167	12.177
lmer_pop	Fec	F	MU	MU5	29.908	-0.609	19.216	13.736
lmer_pop	Fec	F	MU	MU6	13.737	21.228	19.216	11.615
lmer_pop	Fec	F	MU	MU7	-21.545	-2.675	19.216	12.108
lmer_pop	Fec	F	MU	MU8	-32.37	-5.674	19.216	9.806
lmer_pop	Fec	F	MU	MU9	51.558	-1.687	19.216	10.971
lmer_pop	Fec	F	RE	RE1	-18.479	-10.57	19.216	12.824
lmer_pop	Fec	F	RE	RE10	4.718	0.139	20.645	18.269
lmer_pop	Fec	F	RE	RE11	39.549	22.843	17.07	12.867
lmer_pop	Fec	F	RE	RE12	-20.083	-34.143	19.216	10.485
lmer_pop	Fec	F	RE	RE13	-15.405	-8.946	19.216	12.802
lmer_pop	Fec	F	RE	RE15	10.255	-27.346	19.216	10.994
lmer_pop	Fec	F	RE	RE16	17.739	42.359	19.216	10.994
lmer_pop	Fec	F	RE	RE17	-29.972	1.593	19.216	12.108
lmer_pop	Fec	F	RE	RE18	5.978	-19.457	19.216	8.982
lmer_pop	Fec	F	RE	RE2	19.209	-2.894	19.216	16.252
lmer_pop	Fec	F	RE	RE3	-39.327	-16.636	19.216	16.292
lmer_pop	Fec	F	RE	RE5	36.449	-14.568	19.216	18.278
lmer_pop	Fec	F	RE	RE6	-3.912	18.166	19.216	12.08
lmer_pop	Fec	F	RE	RE7	-6.718	22.904	19.216	12.241
lmer_pop	Fec	F	UM	UM13	-1.622	-1.42	19.216	13.736
