"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"104","Schmidt","1","RE","RE6",6.3,2.11081869319834,7,2,9,0.667499479816693,0.335050586221959,7
"105","Schmidt","1","RE","RE7",6.8,1.03279555898864,7,5,9,0.32659863237109,0.151881699851271,7
"106","Schmidt","1","UM","UM13",6.7,1.41813649241218,6.5,4,9,0.448454134902457,0.211662163046593,6
"107","Schmidt","1","UM","UM17",7.2,2.57336787541584,8,2,9,0.813770374382247,0.357412204918866,9
"108","Schmidt","1","UM","UM18",6.6,1.34989711542111,7,4,8,0.42687494916219,0.204529865972895,8
"109","Schmidt","1","UM","UM2",5.1,1.59513148186739,5,3,8,0.504424865014052,0.312770878797527,5
"110","Schmidt","1","UM","UM20",6.66666666666667,1.86189867250253,7,4,9,0.760116950066092,0.279284800875379,7
"111","Schmidt","1","UM","UM21",6.3,1.15950180872841,6.5,4,8,0.366666666666667,0.184047906147366,7
"112","Schmidt","1","UM","UM22",3.7,2.31180545125329,3,1,8,0.731057073315377,0.624812284122512,2
"113","Schmidt","1","UM","UM23",4.1,1.28668393770792,4,3,7,0.406885187191123,0.313825350660468,3
"114","Schmidt","1","UM","UM25",6.9,0.994428926011753,7,6,9,0.31446603773522,0.144120134204602,7
"115","Schmidt","1","UM","UM28",8.4,1.07496769977314,8,7,10,0.339934634239519,0.127972345211088,8
"116","Schmidt","1","UM","UM29",4.3,1.63639169448448,4,2,7,0.517472489875334,0.380556208019646,3
"117","Schmidt","1","UM","UM4",7.3,2.26323269290239,7.5,3,10,0.715697018452796,0.310031875740054,9
"118","Schmidt","1","UM","UM5",4.3,0.823272602348565,4.5,3,5,0.260341655863555,0.191458744732224,5
"119","Schmidt","1","UM","UM7",9.3,0.823272602348565,9.5,8,10,0.260341655863555,0.0885239357364048,10
"120","Schmidt","1","UM","UM9",7.7,1.25166555703457,8,6,10,0.395811402901264,0.162553968446048,8
"121","Schmidt","1","VA","VA11",1.6,1.07496769977314,1,0,3,0.339934634239519,0.671854812358212,1
"122","Schmidt","1","VA","VA15",4.7,1.41813649241218,4.5,3,7,0.448454134902457,0.301731168598335,5
"123","Schmidt","1","VA","VA18",6.7,1.05934990547138,6.5,5,8,0.334995854037363,0.158111926189758,6
"124","Schmidt","1","VA","VA22",9.4,0.699205898780101,9.5,8,10,0.221108319357027,0.0743836062532022,10
"125","Schmidt","1","VA","VA26",2.1,1.79195734076208,2,1,7,0.566666666666667,0.853313019410515,2
"126","Schmidt","1","VA","VA30",4.9,1.28668393770792,5.5,3,6,0.406885187191123,0.262588558715902,6
"127","Schmidt","1","VA","VA34",8.7,0.674948557710553,9,7,9,0.213437474581095,0.0775802939897187,9
"128","Schmidt","1","VA","VA35",2.2,2.0976176963403,2,0,6,0.66332495807108,0.953462589245592,0
"129","Schmidt","1","VA","VA44",8.125,1.45773797371133,8.5,6,10,0.515388203202208,0.179413904456778,9
"130","Schmidt","1","VA","VA46",2.9,1.72884033065199,3,1,7,0.546707315561891,0.596151838155859,3
"131","Schmidt","1","VA","VA47",2.3,1.56702123647242,2,1,6,0.495535624910617,0.681313581074966,2
"132","Schmidt","1","VA","VA48",4.5,2.36877840059198,5,1,7,0.749073501808141,0.526395200131552,7
"133","Schmidt","1","VA","VA55",5,1.76383420737639,4.5,3,8,0.557773351022717,0.352766841475279,4
"134","Schmidt","1","VA","VA57",6.9,1.52388392675499,7,4,9,0.481894409826699,0.22085274300797,8
"135","Schmidt","1","VA","VA66",5,2.66666666666667,5.5,1,8,0.843274042711568,0.533333333333333,7
"136","Schmidt","1","VA","VA67",3.4,1.50554530541816,3.5,1,6,0.476095228569523,0.442807442770048,4
"137","Schmidt","1","VA","VA71",4.3,1.15950180872841,4,3,7,0.366666666666667,0.269651583425211,4
"138","Schmidt","1","YE","YE11",2.42857142857143,0.975900072948533,3,1,3,0.368855556781659,0.40184120650822,3
"139","Schmidt","1","YE","YE13",5.4,2.41292814278051,5.5,2,9,0.76303487615064,0.446838544959354,8
"140","Schmidt","1","YE","YE14",0.9,1.10050493461461,0.5,0,3,0.348010216963685,1.2227832606829,0
"141","Schmidt","1","YE","YE15",3.5,0.707106781186548,3,3,5,0.223606797749979,0.202030508910442,3
"142","Schmidt","1","YE","YE19",4.28571428571429,0.755928946018454,4,4,6,0.285714285714286,0.176383420737639,4
"143","Schmidt","1","YE","YE20",7.1,1.44913767461894,7,5,9,0.458257569495584,0.204103897833654,7
