"","Supervisor.PI","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Abbott","1","AK",20.8501056766,7.02276990590696,20.833752015,4.615515911,44.31743437,0.435533700680125,0.336821789531196,22.26782899
"2","Abbott","1","GI",19.8054824573795,7.52629190395063,19.27825988,3.889927216,41.31621769,0.584153541787059,0.38001053092985,14.34484458
"3","Abbott","1","KA",17.5952770851327,8.5888425498635,15.877583605,4.076652578,44.69387234,0.571321307961408,0.488133406953887,41.9181466
"4","Abbott","1","MA",30.0581453315681,8.06765533279664,29.85184203,9.466513304,55.30696868,0.552786634881214,0.268401634359114,46.08410946
"5","Abbott","1","MU",20.5871939835942,7.10599866333231,20.51539256,6.026426183,52.39062683,0.493901049191697,0.345165964288044,25.22777886
"6","Abbott","1","RE",25.4030434454105,7.2264299312057,24.986024295,7.000271753,46.14283898,0.524260328817386,0.284471029888006,24.10788461
"7","Abbott","1","UM",23.6911652206881,6.81821602367654,22.450256275,10.63349601,45.00859632,0.461787858605653,0.287795723011657,26.69716905
"8","Abbott","1","VA",16.0999516263797,6.54254856717211,15.50290954,2.969357687,50.75648879,0.424984198037362,0.406370697192168,20.96943966
"9","Abbott","1","YE",20.8249821261356,8.34934610128843,19.50042421,4.116700428,47.69940548,0.543496138164364,0.400929328568782,18.26329261
"10","Gibert","1","AK",32.1302872410202,11.9450682729484,32.2057524,9.012701962,63.70847577,1.20052453201661,0.371769731883949,29.41386112
"11","Gibert","1","GI",30.9588083209,9.10645494161865,31.270191165,11.32072623,51.93792084,0.910645494161865,0.294147463533697,22.89759637
"12","Gibert","1","KA",31.1440227427,9.08368693158938,30.086174025,13.8335846,58.1752871,0.908368693158938,0.291667104363342,24.77562716
"13","Gibert","1","MA",37.7794503191667,10.9312421718365,36.21408647,9.027779975,64.80742217,1.15225409726296,0.289343600277072,60.8447157
"14","Gibert","1","MU",36.0927358706,9.19453293024178,34.401646335,17.94649733,72.83079202,0.919453293024178,0.254747463955243,46.61223542
"15","Gibert","1","RE",32.18060912078,10.294037035382,31.27330978,9.054528446,60.51431317,1.0294037035382,0.319883225228787,16.00790742
"16","Gibert","1","UM",35.0492038826667,9.77359441006681,32.79754788,16.56183725,66.57876056,1.03022730875003,0.278853535241075,26.02259018
"17","Gibert","1","VA",34.2857117991,9.04072247331794,35.189833985,8.200214389,62.65521651,0.952975823638518,0.263687757929391,40.42142546
"18","Gibert","1","YE",37.5208432147826,10.9266481338804,37.68006772,13.44362653,62.87186891,1.13918181662195,0.291215420488617,57.97090584
"19","Gibert","2","AK",33.8402850003333,10.8049717043485,33.466122975,11.10445054,59.57455507,1.13894402131376,0.319293165061762,27.67113214
"20","Gibert","2","GI",32.41770386905,10.9091166194466,32.03308477,5.404780773,57.69402065,1.40836089963171,0.336517251916223,28.79049011
"21","Gibert","2","KA",34.7408624149091,8.93748386824433,35.919155525,10.82826254,53.03654828,0.852155651035695,0.25726142781098,41.20947475
"22","Gibert","2","MA",35.0566382037075,11.1707212064525,34.94350181,9.948423333,62.38765632,1.08499635801618,0.318647816186525,41.53853119
"23","Gibert","2","MU",34.1601332056881,10.4037839390351,32.70812118,14.64950074,62.99099727,0.99650177225695,0.304559232143239,25.45317396
"24","Gibert","2","RE",35.3365257528571,8.13465790846537,34.79243913,18.77413252,57.87444925,0.972277585934609,0.230205367821358,35.70308513
"25","Gibert","2","UM",36.3497779059,9.92340913197528,36.25260027,12.67219482,68.04344012,0.992340913197528,0.272997792659542,46.49815454
"26","Gibert","2","VA",35.1566369546364,11.1337325404698,33.3422756,15.22868024,72.49633127,1.06155974560042,0.316689350998959,39.27959893
"27","Gibert","2","YE",32.1223257346381,11.1908204798704,30.30930675,7.797291624,57.10284837,1.09211225226595,0.348381389701279,31.67199597
"28","Gibert","3","AK",38.060995715,8.09948081779409,38.652256105,19.08015348,53.89607291,1.81109896910432,0.212802651786697,41.01826068
