"","Supervisor.PI","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Abbott","AK","AK1",23.5750809838462,4.24494349718422,23.14016229,15.79616838,32.60020799,1.17733549542655,0.180060611460588,22.26782899
"2","Abbott","AK","AK10",16.0245095705,4.5406691309351,15.21221777,8.548120547,24.90043497,1.21354487104712,0.283357759621808,21.4895116
"3","Abbott","AK","AK11",20.8571232627692,7.47262097875468,21.39977524,9.285241366,34.82726907,2.07253216161599,0.358276684881735,9.285241366
"4","Abbott","AK","AK12",29.6036652063636,6.53511773857979,28.30428527,21.61486692,44.31743437,1.97041213633319,0.220753669960265,28.30428527
"5","Abbott","AK","AK13",22.9076194416667,4.22647917900033,23.66686298,14.59179316,28.61281905,1.22007944586009,0.184501021145514,21.26958719
"6","Abbott","AK","AK14",21.6574698516667,5.3959700729617,21.106171295,13.91012156,32.61608989,1.5576823870818,0.249150529120854,22.8224167
"7","Abbott","AK","AK15",19.6470822128,4.57670393443592,19.20232832,11.94633521,29.14242894,0.915340786887183,0.232945731323617,22.42634461
"8","Abbott","AK","AK16",24.6195489658333,4.10238235135679,25.80424386,17.15030279,29.7437209,1.18425577743731,0.16663109291929,28.29816138
"9","Abbott","AK","AK17",11.1734636731538,3.73603886143818,10.98012552,5.986185697,16.70264216,1.03619074477242,0.334367119339605,5.986185697
"10","Abbott","AK","AK18",15.3285422656667,6.47654809759334,16.512671175,4.615515911,27.02120777,1.86961839378254,0.422515591198761,20.76815173
"11","Abbott","AK","AK2",20.8101465541667,4.06566055729774,20.256109835,16.46107872,32.22486825,1.17365510859475,0.19536914584985,16.55788764
"12","Abbott","AK","AK20",26.6938266761538,3.67015159210505,26.32443599,21.66801172,32.37813668,1.01791690415851,0.137490650427564,23.61554932
"13","Abbott","AK","AK21",28.1370666025,3.66654053313053,26.73204083,23.13323561,33.19149789,1.05843908189879,0.130309978112813,26.17910683
"14","Abbott","AK","AK3",27.526286295,5.87337459136149,27.70381562,17.79229578,41.60830287,1.69549720068703,0.213373301738432,27.22322999
"15","Abbott","AK","AK4",24.238380375,5.50009341282043,25.181250375,14.08206409,31.14497781,1.58774020622998,0.226916705148061,21.9990865
"16","Abbott","AK","AK5",22.7804133575,6.87920949717851,20.63930395,12.16001501,33.12100207,1.98585672750392,0.30197913397009,18.67922964
"17","Abbott","AK","AK6",16.8015998504167,7.61349088799551,15.48883188,7.598203925,31.52965562,2.19782550682848,0.453140829193519,11.60263295
"18","Abbott","AK","AK7",16.1631654279167,7.78248285655598,12.94704816,7.634444854,29.73094934,2.24660928609812,0.481494970231156,19.61881559
"19","Abbott","AK","AK8",14.0476277603077,3.76044514808076,13.83520835,7.463636344,19.39132849,1.04295983076731,0.267692539426913,19.39132849
"20","Abbott","AK","AK9",18.1316546815385,2.75109849460188,18.67181304,11.67636007,20.95492503,0.763017437395297,0.151729036479116,17.96002257
"21","Abbott","GI","GI1",16.6216911183333,5.75934426744814,16.195513545,8.141616266,24.64159367,1.66257948158346,0.346495686055417,14.34484458
"22","Abbott","GI","GI10",17.3536078381538,6.36181811720451,17.44456869,7.582658453,26.86687231,1.76445087898128,0.366599163501744,9.458893253
"23","Abbott","GI","GI11",24.4217644183333,6.68668267527537,24.03300248,14.38122412,35.87839461,1.93027902127792,0.273800146489649,17.20483669
"24","Abbott","GI","GI12",18.757188457,4.43881410113184,18.33429353,9.913579147,25.19383905,1.338352807963,0.236646025672111,21.78174956
"25","Abbott","GI","GI14",13.9846211475,4.93823697503243,13.3871247,4.550477065,22.80595692,1.42554622342857,0.353119110124426,4.550477065
"26","Abbott","GI","GI15",25.8760251491667,5.33324358183753,26.407388135,16.00417531,32.61659036,1.53957480881387,0.206107528149828,27.64881592
"27","Abbott","GI","GI2",22.5237577392308,5.49561497021986,23.10750542,14.50911893,31.32783662,1.52420935117963,0.243991923276988,14.50911893
"28","Abbott","GI","GI3",12.8971831805,4.65007856566946,13.086252275,4.189742185,20.65158447,1.34236205582109,0.360549935640224,9.643996376
"29","Abbott","GI","GI4",16.0295767778889,4.08942809749666,17.56909822,9.887436601,21.6276076,1.36314269916555,0.255117658698113,17.98969672
